,productivity,utility,coverage,harmonic_mean
disident Oscar,0.75,0.4167,0.0073,0.0143
Espinosa Chepe,0.75,0.4167,0.0073,0.0143
Oscar Espinosa,0.75,0.4167,0.0073,0.0143
Na Tchaj-wanu,0.7167,0.3833,0.0073,0.0142
Evropské rady,0.7667,0.4667,0.0068,0.0135
v Hradci,0.7833,0.4833,0.0068,0.0135
Hradci Králové,0.7833,0.4833,0.0068,0.0135
Podle předpokladů,0.7667,0.4333,0.0068,0.0135
Konečný se,0.7667,0.4333,0.0068,0.0135
zařízením v,0.7667,0.4333,0.0068,0.0135
ropným zařízením,0.7667,0.4333,0.0068,0.0135
sabotáže proti,0.7667,0.4333,0.0068,0.0135
proti ropným,0.7667,0.4333,0.0068,0.0135
vztahy mezi,0.7,0.4333,0.0068,0.0135
Diplomatické vztahy,0.7,0.4333,0.0068,0.0135
se zúčastnilo,0.7,0.3667,0.0068,0.0135
soudní proces,0.7,0.3667,0.0068,0.0135
ve svém,0.7,0.3667,0.0068,0.0135
v hodnotě,0.7,0.3667,0.0068,0.0135
vystavena v,0.7,0.3667,0.0068,0.0135
se nezúčastnil,0.7333,0.4,0.0068,0.0134
Havel se,0.7333,0.4,0.0068,0.0134
000 protestních,0.7667,0.4333,0.0068,0.0134
protestních shromáždění,0.7667,0.4333,0.0068,0.0134
Radnice Postoloprt,0.7667,0.4333,0.0068,0.0134
na otravu,0.8167,0.4833,0.0064,0.0127
"řekl, že",0.8167,0.4833,0.0064,0.0127
František Procházka,0.8167,0.4833,0.0064,0.0127
Air France,0.75,0.4167,0.0064,0.0127
kvarteto získalo,0.75,0.4167,0.0064,0.0127
v Brně,0.75,0.4167,0.0064,0.0127
procenta voličů,0.75,0.4167,0.0064,0.0127
světovou válku,0.75,0.4167,0.0064,0.0127
firma chce,0.75,0.4167,0.0064,0.0127
používány méně,0.75,0.4167,0.0064,0.0127
jsou používány,0.75,0.4167,0.0064,0.0127
které ničí,0.75,0.4167,0.0064,0.0127
nad Sázavou,0.7833,0.45,0.0064,0.0126
ozonová díra,0.7833,0.45,0.0064,0.0126
Ledči nad,0.7833,0.45,0.0064,0.0126
roce 2007,0.8,0.5,0.006,0.0119
z provozu,0.8667,0.5333,0.006,0.0118
Ukrajina někdejšího,0.8667,0.5333,0.006,0.0118
někdejšího gruzínského,0.8667,0.5333,0.006,0.0118
gruzínského prezidenta,0.8667,0.5333,0.006,0.0118
dubna 2005,0.7167,0.45,0.006,0.0118
22 dubna,0.7167,0.45,0.006,0.0118
soud v,0.8,0.4667,0.006,0.0118
demonstrovali při,0.8,0.4667,0.006,0.0118
při mírovém,0.8,0.4667,0.006,0.0118
mírovém pochodu,0.8,0.4667,0.006,0.0118
lidé demonstrovali,0.8,0.4667,0.006,0.0118
milionů eur,0.8,0.4667,0.006,0.0118
mistrovství Evropy,0.8,0.4667,0.006,0.0118
Třetí část,0.8,0.4667,0.006,0.0118
hodnotě 700,0.8,0.4667,0.006,0.0118
mezinárodní plavecké,0.8,0.4667,0.006,0.0118
snímku Třetí,0.8,0.4667,0.006,0.0118
premiér je,0.8,0.4667,0.006,0.0118
Vedení mezinárodní,0.8,0.4667,0.006,0.0118
noci (1971),0.8,0.4667,0.006,0.0118
Režisér kontroverzního,0.8,0.4667,0.006,0.0118
část noci,0.8,0.4667,0.006,0.0118
je ve,0.8,0.4667,0.006,0.0118
kontroverzního snímku,0.8,0.4667,0.006,0.0118
700 milionů,0.8,0.4667,0.006,0.0118
2008 se,0.8,0.4667,0.006,0.0118
(1971) zemřel,0.8,0.4667,0.006,0.0118
hlavním městě,0.9,0.6,0.0056,0.011
nad Clintonovou,0.85,0.55,0.0056,0.011
V Poděbradech,0.8,0.5333,0.0056,0.011
Brněnská šestnáctka,0.8,0.5,0.0056,0.011
23 lidí,0.9167,0.5833,0.0056,0.011
americké protiraketové,0.8667,0.5667,0.0056,0.011
protiraketové základny,0.8667,0.5667,0.0056,0.011
hudební skladby,0.85,0.5167,0.0056,0.011
Nicolas Sarkozy,0.85,0.5167,0.0056,0.011
V České,0.85,0.5167,0.0056,0.011
nahrávku hudební,0.85,0.5167,0.0056,0.011
Blízkého východu,0.85,0.5167,0.0056,0.011
Kubánský disident,0.85,0.5167,0.0056,0.011
ocenění za,0.85,0.5167,0.0056,0.011
Prezident Nicolas,0.85,0.5167,0.0056,0.011
za nahrávku,0.85,0.5167,0.0056,0.011
EU v,0.85,0.5167,0.0056,0.011
že Iráčané,0.85,0.5167,0.0056,0.011
ministerstva zdravotnictví,0.85,0.5167,0.0056,0.011
jsou připraveni,0.85,0.5167,0.0056,0.011
se nachází,0.85,0.5167,0.0056,0.011
"díru, jsou",0.85,0.5167,0.0056,0.011
díra nezvětšuje,0.85,0.5167,0.0056,0.011
firma Fremach,0.85,0.5167,0.0056,0.011
V budově,0.85,0.5167,0.0056,0.011
kapli čtrnácti,0.85,0.5167,0.0056,0.011
vyřadí z,0.85,0.5167,0.0056,0.011
budově ministerstva,0.85,0.5167,0.0056,0.011
Iráčané jsou,0.85,0.5167,0.0056,0.011
předpokladů skončí,0.85,0.5167,0.0056,0.011
městě Nassau,0.85,0.5167,0.0056,0.011
v Jižní,0.85,0.5167,0.0056,0.011
"Husajn řekl,",0.85,0.5167,0.0056,0.011
Postoloprt zachraňuje,0.85,0.5167,0.0056,0.011
nachází minimálně,0.85,0.5167,0.0056,0.011
"ozonovou díru,",0.85,0.5167,0.0056,0.011
skončí sabotáže,0.85,0.5167,0.0056,0.011
hlavním městem,0.85,0.5167,0.0056,0.011
ničí ozonovou,0.85,0.5167,0.0056,0.011
V Bulharsku,0.85,0.5167,0.0056,0.011
město Baham,0.85,0.5167,0.0056,0.011
na odvykací,0.85,0.5167,0.0056,0.011
Saddám Husajn,0.85,0.5167,0.0056,0.011
se ozonová,0.85,0.5167,0.0056,0.011
Polský premiér,0.55,0.3167,0.0056,0.011
území Polska,0.55,0.3167,0.0056,0.011
premiér a,0.55,0.3167,0.0056,0.011
a prezident,0.55,0.3167,0.0056,0.011
Japonský premiér,0.5667,0.3333,0.0056,0.011
Evropské unie,0.6167,0.35,0.0056,0.011
pokračovala v,0.5833,0.35,0.0056,0.011
Fiat 126,0.5667,0.3333,0.0056,0.0109
Noam Chomsky,0.9,0.6,0.0051,0.0102
americký prezident,0.9,0.5667,0.0051,0.0102
ceny v,0.9,0.5667,0.0051,0.0102
a British,0.9,0.5667,0.0051,0.0102
KVIFF je,0.9,0.5667,0.0051,0.0102
Bývalý americký,0.9,0.5667,0.0051,0.0102
ucházet o,0.9,0.5667,0.0051,0.0102
11 000,0.9,0.5667,0.0051,0.0102
mnoho obyvatel,0.9,0.5667,0.0051,0.0102
Díky menšímu,0.9,0.5667,0.0051,0.0102
na mistrovství,0.9,0.5667,0.0051,0.0102
prezidenta vyhostila,0.9,0.5667,0.0051,0.0102
asi 11,0.9,0.5667,0.0051,0.0102
bude ucházet,0.9,0.5667,0.0051,0.0102
menšímu používání,0.9,0.5667,0.0051,0.0102
prezidenta Nicolase,0.9,0.5667,0.0051,0.0102
Evo Morales,0.9,0.5667,0.0051,0.0102
zemřelo na,0.9,0.5667,0.0051,0.0102
France a,0.9,0.5667,0.0051,0.0102
vyhostila do,0.9,0.5667,0.0051,0.0102
Tchaj-wanu žije,0.9,0.5667,0.0051,0.0102
v Ledči,0.9,0.5667,0.0051,0.0102
Prvního referenda,0.9,0.5667,0.0051,0.0102
probíhal 8,0.9,0.5667,0.0051,0.0102
British Airways,0.9,0.5667,0.0051,0.0102
republice se,0.9,0.5667,0.0051,0.0102
konalo asi,0.9,0.5667,0.0051,0.0102
roce 2015,0.9,0.5667,0.0051,0.0102
"papežem, který",0.9,0.5667,0.0051,0.0102
Po smrti,0.9,0.5667,0.0051,0.0102
a střední,0.9,0.5667,0.0051,0.0102
byl prvním,0.9,0.5667,0.0051,0.0102
smrti Saddáma,0.9,0.5667,0.0051,0.0102
Husajna budou,0.9,0.5667,0.0051,0.0102
II byl,0.9,0.5667,0.0051,0.0102
"prvním papežem,",0.9,0.5667,0.0051,0.0102
dodávky ropy,0.9,0.5667,0.0051,0.0102
střední firmy,0.9,0.5667,0.0051,0.0102
padělaného zboží,0.75,0.4833,0.0051,0.0102
Donald Tusk,0.7667,0.5,0.0051,0.0102
v Česku,0.7,0.4333,0.0051,0.0101
Bühler Motor,0.6667,0.4,0.0051,0.0101
Pokud křeče,0.55,0.3167,0.0051,0.0101
všech vozů,0.5833,0.35,0.0051,0.0101
vozů Fiat,0.5833,0.35,0.0051,0.0101
70% všech,0.5833,0.35,0.0051,0.0101
Pan Ki-mun,0.5167,0.2833,0.0051,0.0101
odstoupila od,0.75,0.4833,0.0051,0.0101
na kouření,0.4333,0.2333,0.0051,0.0101
bývá považován,0.9,0.6,0.0047,0.0093
za nejvýznamnějšího,0.9,0.6,0.0047,0.0093
považován za,0.9,0.6,0.0047,0.0093
nejvýznamnějšího žijícího,0.9,0.6,0.0047,0.0093
stovky lidí,0.95,0.6167,0.0047,0.0093
Írán disponuje,0.95,0.6167,0.0047,0.0093
přišly z,0.95,0.6167,0.0047,0.0093
v září,0.95,0.6167,0.0047,0.0093
září stovky,0.95,0.6167,0.0047,0.0093
Procházka před,0.95,0.6167,0.0047,0.0093
pomoc při,0.95,0.6167,0.0047,0.0093
pohár v,0.95,0.6167,0.0047,0.0093
po srpnových,0.95,0.6167,0.0047,0.0093
v plavání,0.95,0.6167,0.0047,0.0093
obviňuje své,0.95,0.6167,0.0047,0.0093
března soudní,0.95,0.6167,0.0047,0.0093
odstraňování škod,0.95,0.6167,0.0047,0.0093
rekordně drahé,0.95,0.6167,0.0047,0.0093
Lech Kaczyński,0.95,0.6167,0.0047,0.0093
při odstraňování,0.95,0.6167,0.0047,0.0093
Světový pohár,0.95,0.6167,0.0047,0.0093
srpnových povodních,0.95,0.6167,0.0047,0.0093
škod po,0.95,0.6167,0.0047,0.0093
malé a,0.95,0.6167,0.0047,0.0093
své kritiky,0.95,0.6167,0.0047,0.0093
základny v,0.85,0.55,0.0047,0.0093
Zurich a,0.8,0.5,0.0047,0.0093
o 15,0.7,0.4333,0.0047,0.0093
sochy Sigmunda,0.7,0.4333,0.0047,0.0093
v Postoloprtech,0.6,0.3667,0.0047,0.0093
Andrij Lysenko,0.7167,0.45,0.0047,0.0093
Džuničiró Koizumi,0.7167,0.45,0.0047,0.0093
rámci NATO,0.6,0.3667,0.0047,0.0093
rekordní počet,0.6167,0.3833,0.0047,0.0093
je nutno,0.55,0.3167,0.0047,0.0093
Špindlerův Mlýn,0.45,0.25,0.0047,0.0093
roku 1775,0.5667,0.3333,0.0047,0.0093
se od,0.5667,0.3333,0.0047,0.0093
měří v,0.5667,0.3333,0.0047,0.0093
teploty se,0.5667,0.3333,0.0047,0.0093
1775 měří,0.5667,0.3333,0.0047,0.0093
Rekordní teploty,0.5667,0.3333,0.0047,0.0093
Petr Gandalovič,0.55,0.35,0.0047,0.0092
státního podniku,0.55,0.35,0.0047,0.0092
Gandalovič dnes,0.55,0.35,0.0047,0.0092
Z Alžírska,1.0,0.6667,0.0043,0.0085
Seifert dostal,1.0,0.6667,0.0043,0.0085
"rozhodl, že",1.0,0.6667,0.0043,0.0085
Sarkozy vyjednává,1.0,0.6667,0.0043,0.0085
zákona prezidenta,1.0,0.6667,0.0043,0.0085
Sarkozyho odstraňuje,1.0,0.6667,0.0043,0.0085
přehlídky v,1.0,0.6667,0.0043,0.0085
Stát nabízel,1.0,0.6667,0.0043,0.0085
"zúčastnilo 55,21",1.0,0.6667,0.0043,0.0085
Tarantino natočil,1.0,0.6667,0.0043,0.0085
odvykací kúře,1.0,0.6667,0.0043,0.0085
odstraňuje možnost,1.0,0.6667,0.0043,0.0085
disponuje kvalitním,1.0,0.6667,0.0043,0.0085
dvacet čtyři,1.0,0.6667,0.0043,0.0085
v Rusku,1.0,0.6667,0.0043,0.0085
předáci jsou,1.0,0.6667,0.0043,0.0085
rakovinu slinivky,1.0,0.6667,0.0043,0.0085
ropy ze,1.0,0.6667,0.0043,0.0085
referenda ve,1.0,0.6667,0.0043,0.0085
do Varšavy,1.0,0.6667,0.0043,0.0085
Komunističtí předáci,1.0,0.6667,0.0043,0.0085
odmítl zastupovat,1.0,0.6667,0.0043,0.0085
mají k,1.0,0.6667,0.0043,0.0085
Kábulu propustil,1.0,0.6667,0.0043,0.0085
kvůli záplavám,1.0,0.6667,0.0043,0.0085
halotanů se,1.0,0.6667,0.0043,0.0085
nabízel u,1.0,0.6667,0.0043,0.0085
Sanders rád,1.0,0.6667,0.0043,0.0085
Vstupenky na,1.0,0.6667,0.0043,0.0085
Vybudování úřadu,1.0,0.6667,0.0043,0.0085
neleží na,1.0,0.6667,0.0043,0.0085
v minulosti,1.0,0.6667,0.0043,0.0085
chce zvýšit,1.0,0.6667,0.0043,0.0085
Stát se,1.0,0.6667,0.0043,0.0085
OSN poskytla,1.0,0.6667,0.0043,0.0085
egyptské vlády,1.0,0.6667,0.0043,0.0085
Radnice Brna,1.0,0.6667,0.0043,0.0085
osob stejného,1.0,0.6667,0.0043,0.0085
kvalitním kuchyňským,1.0,0.6667,0.0043,0.0085
do Evropy,1.0,0.6667,0.0043,0.0085
"Tchaj-pej, žije",1.0,0.6667,0.0043,0.0085
Okamura obviňuje,1.0,0.6667,0.0043,0.0085
"kulatému stolu,",1.0,0.6667,0.0043,0.0085
roce 2006,1.0,0.6667,0.0043,0.0085
dostal výsledky,1.0,0.6667,0.0043,0.0085
z Egypta,1.0,0.6667,0.0043,0.0085
Výstaviště v,1.0,0.6667,0.0043,0.0085
třídy kartu,1.0,0.6667,0.0043,0.0085
Pořadatelé připravili,1.0,0.6667,0.0043,0.0085
než 400,1.0,0.6667,0.0043,0.0085
než 1000,1.0,0.6667,0.0043,0.0085
kuchyňským vybavením,1.0,0.6667,0.0043,0.0085
než desítku,1.0,0.6667,0.0043,0.0085
u zápisu,1.0,0.6667,0.0043,0.0085
Soudu Jankové,1.0,0.6667,0.0043,0.0085
u Soudu,1.0,0.6667,0.0043,0.0085
získal ocenění,1.0,0.6667,0.0043,0.0085
získalo Oscara,1.0,0.6667,0.0043,0.0085
než Lech,1.0,0.6667,0.0043,0.0085
v Kábulu,1.0,0.6667,0.0043,0.0085
elektrárnu Kozloduj,1.0,0.6667,0.0043,0.0085
všechny politické,1.0,0.6667,0.0043,0.0085
na zemském,1.0,0.6667,0.0043,0.0085
Polsku v,1.0,0.6667,0.0043,0.0085
Praze v,1.0,0.6667,0.0043,0.0085
Prezident Evo,1.0,0.6667,0.0043,0.0085
zápisu dětí,1.0,0.6667,0.0043,0.0085
Kolumbie je,1.0,0.6667,0.0043,0.0085
desítku filmů,1.0,0.6667,0.0043,0.0085
výsledky krevního,1.0,0.6667,0.0043,0.0085
Jižní Americe,1.0,0.6667,0.0043,0.0085
v kadeřnictví,1.0,0.6667,0.0043,0.0085
před třinácti,1.0,0.6667,0.0043,0.0085
záplavám stav,1.0,0.6667,0.0043,0.0085
rasismu a,1.0,0.6667,0.0043,0.0085
uhelnatým 23,1.0,0.6667,0.0043,0.0085
zachraňuje tympanon,1.0,0.6667,0.0043,0.0085
nejvíce banánů,1.0,0.6667,0.0043,0.0085
zachraňuje kapli,1.0,0.6667,0.0043,0.0085
Slovenské republice,1.0,0.6667,0.0043,0.0085
v jihovýchodní,1.0,0.6667,0.0043,0.0085
zvýšení minimální,1.0,0.6667,0.0043,0.0085
zvýšit ceny,1.0,0.6667,0.0043,0.0085
výkazů zaměstnávala,1.0,0.6667,0.0043,0.0085
Muslimské bratrstvo,1.0,0.6667,0.0043,0.0085
Ostrava poskytne,1.0,0.6667,0.0043,0.0085
V Ořechově,1.0,0.6667,0.0043,0.0085
připravili pro,1.0,0.6667,0.0043,0.0085
Rodiče musí,1.0,0.6667,0.0043,0.0085
Moravy v,1.0,0.6667,0.0043,0.0085
Ořechově se,1.0,0.6667,0.0043,0.0085
připraveni konzumovat,1.0,0.6667,0.0043,0.0085
dětí do,1.0,0.6667,0.0043,0.0085
Morava více,1.0,0.6667,0.0043,0.0085
V jihovýchodním,1.0,0.6667,0.0043,0.0085
výstava znamého,1.0,0.6667,0.0043,0.0085
Pandy jsou,1.0,0.6667,0.0043,0.0085
Nicolase Sarkozyho,1.0,0.6667,0.0043,0.0085
nyní pozváni,1.0,0.6667,0.0043,0.0085
Morales chce,1.0,0.6667,0.0043,0.0085
přijetí eura,1.0,0.6667,0.0043,0.0085
uzavřela poslední,1.0,0.6667,0.0043,0.0085
federace pořádá,1.0,0.6667,0.0043,0.0085
v Turecku,1.0,0.6667,0.0043,0.0085
v platnost,1.0,0.6667,0.0043,0.0085
finančních problémech,1.0,0.6667,0.0043,0.0085
v Madridu,1.0,0.6667,0.0043,0.0085
Ořechova uzavřela,1.0,0.6667,0.0043,0.0085
Nassau probíhala,1.0,0.6667,0.0043,0.0085
minimální mzdy,1.0,0.6667,0.0043,0.0085
zaměstnávala v,1.0,0.6667,0.0043,0.0085
lety nespáchal,1.0,0.6667,0.0043,0.0085
filmový festival,1.0,0.6667,0.0043,0.0085
o zvýšení,1.0,0.6667,0.0043,0.0085
Na ostrově,1.0,0.6667,0.0043,0.0085
přišlo do,1.0,0.6667,0.0043,0.0085
zemském povrchu,1.0,0.6667,0.0043,0.0085
zaměstnancům na,1.0,0.6667,0.0043,0.0085
nebyly uzavřeny,1.0,0.6667,0.0043,0.0085
oblíbenou turistickou,1.0,0.6667,0.0043,0.0085
slavnostní otevření,1.0,0.6667,0.0043,0.0085
natočil více,1.0,0.6667,0.0043,0.0085
rád sportuje,1.0,0.6667,0.0043,0.0085
uzavření kontraktu,1.0,0.6667,0.0043,0.0085
soudní spory,1.0,0.6667,0.0043,0.0085
v soukromé,1.0,0.6667,0.0043,0.0085
země Blízkého,1.0,0.6667,0.0043,0.0085
ocitla v,1.0,0.6667,0.0043,0.0085
rychlé občerstvení,1.0,0.6667,0.0043,0.0085
Olomouci klesla,1.0,0.6667,0.0043,0.0085
Vltavy klesá,1.0,0.6667,0.0043,0.0085
republice zemřelo,1.0,0.6667,0.0043,0.0085
deseti letech,1.0,0.6667,0.0043,0.0085
unikla nebezpečná,1.0,0.6667,0.0043,0.0085
minulosti zvláštní,1.0,0.6667,0.0043,0.0085
v Olomouci,1.0,0.6667,0.0043,0.0085
zastupovat EU,1.0,0.6667,0.0043,0.0085
Velvyslanec Bergamini,1.0,0.6667,0.0043,0.0085
Lidé mají,1.0,0.6667,0.0043,0.0085
v Kazachstánu,1.0,0.6667,0.0043,0.0085
nebezpečná látka,1.0,0.6667,0.0043,0.0085
mediální zákon,1.0,0.6667,0.0043,0.0085
mimořádně mnoho,1.0,0.6667,0.0043,0.0085
nezúčastnil vojenské,1.0,0.6667,0.0043,0.0085
nespáchal žádnou,1.0,0.6667,0.0043,0.0085
zvláštní vztah,1.0,0.6667,0.0043,0.0085
kúře bydlení,1.0,0.6667,0.0043,0.0085
mimosoudní vyrování,1.0,0.6667,0.0043,0.0085
ze země,1.0,0.6667,0.0043,0.0085
do první,1.0,0.6667,0.0043,0.0085
o místo,1.0,0.6667,0.0043,0.0085
V Brazílii,1.0,0.6667,0.0043,0.0085
Podle účetních,1.0,0.6667,0.0043,0.0085
minulosti vyhořelo,1.0,0.6667,0.0043,0.0085
Producent získal,1.0,0.6667,0.0043,0.0085
V Indonésii,1.0,0.6667,0.0043,0.0085
v bezpečí,1.0,0.6667,0.0043,0.0085
v Moskvě,1.0,0.6667,0.0043,0.0085
letadla Boeing,1.0,0.6667,0.0043,0.0085
zdravotnictví unikla,1.0,0.6667,0.0043,0.0085
dostal cenu,1.0,0.6667,0.0043,0.0085
soukromé sbírce,1.0,0.6667,0.0043,0.0085
milionů obyvatel,1.0,0.6667,0.0043,0.0085
Podle egyptské,1.0,0.6667,0.0043,0.0085
znamého britského,1.0,0.6667,0.0043,0.0085
doprovodnou scénu,1.0,0.6667,0.0043,0.0085
nový mediální,1.0,0.6667,0.0043,0.0085
Návrh imigračního,1.0,0.6667,0.0043,0.0085
legalizace po,1.0,0.6667,0.0043,0.0085
"loni rozhodl,",1.0,0.6667,0.0043,0.0085
přestane podporovat,1.0,0.6667,0.0043,0.0085
z rasismu,1.0,0.6667,0.0043,0.0085
Sázavou vázne,1.0,0.6667,0.0043,0.0085
Rusku jsou,1.0,0.6667,0.0043,0.0085
Tchaj-wanci nemají,1.0,0.6667,0.0043,0.0085
sbírce umění,1.0,0.6667,0.0043,0.0085
třinácti lety,1.0,0.6667,0.0043,0.0085
je pro,1.0,0.6667,0.0043,0.0085
je oblíbenou,1.0,0.6667,0.0043,0.0085
Chepe vyrůstal,1.0,0.6667,0.0043,0.0085
vstoupil v,1.0,0.6667,0.0043,0.0085
na Slovensku,1.0,0.6667,0.0043,0.0085
byla vystavena,1.0,0.6667,0.0043,0.0085
Carter dostal,1.0,0.6667,0.0043,0.0085
kontraktu v,1.0,0.6667,0.0043,0.0085
CZMT je,1.0,0.6667,0.0043,0.0085
mzdy ve,1.0,0.6667,0.0043,0.0085
Jankové mimosoudní,1.0,0.6667,0.0043,0.0085
prodá nejvíce,1.0,0.6667,0.0043,0.0085
čtyři milionů,1.0,0.6667,0.0043,0.0085
podporovat malé,1.0,0.6667,0.0043,0.0085
je starší,1.0,0.6667,0.0043,0.0085
až nyní,1.0,0.6667,0.0043,0.0085
artový filmový,1.0,0.6667,0.0043,0.0085
Brně konalo,1.0,0.6667,0.0043,0.0085
Brna zachraňuje,1.0,0.6667,0.0043,0.0085
automatické legalizace,1.0,0.6667,0.0043,0.0085
podpořil sňatky,1.0,0.6667,0.0043,0.0085
se ocitla,1.0,0.6667,0.0043,0.0085
Brazílii se,1.0,0.6667,0.0043,0.0085
proběhla výstava,1.0,0.6667,0.0043,0.0085
sňatky osob,1.0,0.6667,0.0043,0.0085
ačkoli soudní,1.0,0.6667,0.0043,0.0085
Boeing 737,1.0,0.6667,0.0043,0.0085
koncerty v,1.0,0.6667,0.0043,0.0085
konalo slavnostní,1.0,0.6667,0.0043,0.0085
americké rychlé,1.0,0.6667,0.0043,0.0085
propustil všechny,1.0,0.6667,0.0043,0.0085
konzervativní politik,1.0,0.6667,0.0043,0.0085
konzumovat americké,1.0,0.6667,0.0043,0.0085
se konalo,1.0,0.6667,0.0043,0.0085
Evropy více,1.0,0.6667,0.0043,0.0085
Česká vláda,1.0,0.6667,0.0043,0.0085
na koncerty,1.0,0.6667,0.0043,0.0085
se loni,1.0,0.6667,0.0043,0.0085
ve finančních,1.0,0.6667,0.0043,0.0085
možnost automatické,1.0,0.6667,0.0043,0.0085
Epopej se,1.0,0.6667,0.0043,0.0085
stav nouze,1.0,0.6667,0.0043,0.0085
stavět minimálně,1.0,0.6667,0.0043,0.0085
Egypta v,1.0,0.6667,0.0043,0.0085
je Muslimské,1.0,0.6667,0.0043,0.0085
stejného pohlaví,1.0,0.6667,0.0043,0.0085
"je Tchaj-pej,",1.0,0.6667,0.0043,0.0085
je artový,1.0,0.6667,0.0043,0.0085
po deseti,1.0,0.6667,0.0043,0.0085
vyjednává o,1.0,0.6667,0.0043,0.0085
teroristickou organizací,1.0,0.6667,0.0043,0.0085
koupit Jaderná,1.0,0.6667,0.0043,0.0085
"stolu, ačkoli",1.0,0.6667,0.0043,0.0085
Do Itálie,1.0,0.6667,0.0043,0.0085
je konzervativní,1.0,0.6667,0.0043,0.0085
července proběhla,1.0,0.6667,0.0043,0.0085
"Deštníky, které",1.0,0.6667,0.0043,0.0085
po uzavření,1.0,0.6667,0.0043,0.0085
vyhlásila kvůli,1.0,0.6667,0.0043,0.0085
musí mít,1.0,0.6667,0.0043,0.0085
probíhala 8,1.0,0.6667,0.0043,0.0085
pohřbívat zesnulé,1.0,0.6667,0.0043,0.0085
ve Slovenské,1.0,0.6667,0.0043,0.0085
jsou rekordně,1.0,0.6667,0.0043,0.0085
svém varšavském,1.0,0.6667,0.0043,0.0085
kde pohřbívat,1.0,0.6667,0.0043,0.0085
2015 firma,1.0,0.6667,0.0043,0.0085
kartu pojištěnce,1.0,0.6667,0.0043,0.0085
2006 vstoupil,1.0,0.6667,0.0043,0.0085
kaple čtrnácti,1.0,0.6667,0.0043,0.0085
se prodá,1.0,0.6667,0.0043,0.0085
městem je,1.0,0.6667,0.0043,0.0085
používání halotanů,1.0,0.6667,0.0043,0.0085
jsou nyní,1.0,0.6667,0.0043,0.0085
mít u,1.0,0.6667,0.0043,0.0085
bratrstvo teroristickou,1.0,0.6667,0.0043,0.0085
že přestane,1.0,0.6667,0.0043,0.0085
jsou v,1.0,0.6667,0.0043,0.0085
Bitva u,1.0,0.6667,0.0043,0.0085
pozváni ke,1.0,0.6667,0.0043,0.0085
britského malíře,1.0,0.6667,0.0043,0.0085
