,Cue,DCI
434,minulosti,0.3638
435,75,0.3638
436,raketoplánů,0.3638
437,Challenger,0.3638
438,Columbie,0.3638
439,Ajád,0.3638
440,Aláví,0.3638
441,infarkt,0.3638
442,skonal,0.3638
443,již,0.3638
444,Kolumbii,0.3638
445,ochraně,0.3638
446,"30,2",0.3638
447,bankou,0.3638
448,skupině,0.3638
449,institutu,0.3638
450,Massachusetts,0.3638
451,viceguvernér,0.3638
452,národní,0.3638
453,částečně,0.3638
454,povede,0.3638
455,kandidátku,0.3638
456,propagandou,0.3638
457,United,0.3638
458,Islands,0.3638
459,pojišťovna,0.3638
460,banka,0.3638
461,udělena,0.3638
462,Kocianovu,0.3638
463,kvartetu,0.3638
464,francouzskou,0.3638
465,Velká,0.3638
466,francouzské,0.3638
467,Akademie,0.3638
468,Charlese,0.3638
469,Crose,0.3638
470,Maďarský,0.3638
471,Sólyom,0.3638
472,21,0.3638
473,2009,0.3638
474,vztah,0.3625
475,EU,0.3625
476,disident,0.36
477,ArcelorMittal,0.3577
478,Ostrava,0.3577
479,vlády,0.3577
480,ceny,0.3577
481,milionů,0.3577
482,Chepe,0.3577
483,Odvolací,0.3577
484,soud,0.3577
485,po,0.3577
486,Epopej,0.3577
487,vyzval,0.3565
488,zprávu,0.3565
489,spoluprací,0.3565
490,Kyjevě,0.3565
491,Japonský,0.3565
492,22,0.3565
493,2005,0.3565
494,byly,0.3565
495,Diplomatické,0.3565
496,2007,0.3565
497,společnosti,0.3565
498,Velké,0.3565
499,představuje,0.3565
500,Postoloprtech,0.3565
501,demonstrací,0.3565
502,pokračovala,0.3565
503,Německu,0.3565
504,letiště,0.3565
505,Slovensko,0.3565
506,Brněnská,0.3565
507,Zásilkový,0.3565
508,Milan,0.3565
509,Tanková,0.3565
510,veletrh,0.3565
511,Špindlerův,0.3565
512,Mlýn,0.3565
513,1945,0.3565
514,další,0.3565
515,hlasovat,0.3565
516,Staroměstského,0.3565
517,náměstí,0.3565
518,jednat,0.3565
519,The,0.3565
520,ministr,0.3565
521,Přes,0.3565
522,Irský,0.3565
523,finančník,0.3565
524,Viktor,0.3565
525,Kožený,0.3565
526,126,0.3565
527,Noam,0.3565
528,protokolu,0.3565
529,inspekce,0.3565
530,ředitel,0.3565
531,člověk,0.3565
532,exministra,0.3565
533,umístění,0.355
534,Polský,0.355
535,která,0.355
536,vědce,0.355
537,procent,0.355
538,byli,0.355
539,omezit,0.355
540,rozpočtu,0.355
541,velké,0.355
542,Ruský,0.355
543,plynárenský,0.355
544,gigant,0.355
545,Gazprom,0.355
546,loni,0.355
547,dopadení,0.355
548,budou,0.355
549,lítost,0.355
550,František,0.355
551,Rusko,0.355
552,český,0.355
553,převozu,0.355
554,Poděbradech,0.355
555,Výstava,0.355
556,místní,0.355
557,skončila,0.355
558,hostováním,0.355
559,Křeče,0.355
560,2002,0.355
561,rekordní,0.355
562,Británie,0.355
563,den,0.355
564,evropských,0.355
565,září,0.355
566,Kundera,0.355
567,Maďarsku,0.355
568,bitvě,0.355
569,nutno,0.355
570,Brněnsku,0.355
571,odhalení,0.355
572,Kozím,0.355
573,plácku,0.355
574,plánuje,0.355
575,151,0.355
576,slavného,0.355
577,zakladatele,0.355
578,jeho,0.355
579,"tvrdí,",0.355
580,CZMT,0.355
581,uzavřela,0.355
582,David,0.355
583,Cameron,0.355
584,případě,0.355
585,víkendu,0.355
586,kaloni,0.355
587,Energo,0.355
588,dohody,0.355
589,sedm,0.355
590,postav,0.355
591,hrozbu,0.355
592,řízení,0.355
593,amerického,0.355
594,svou,0.355
595,"oznámil,",0.355
596,věku,0.355
597,ministra,0.355
598,protokol,0.355
599,miliard,0.355
600,banky,0.355
601,plzeňské,0.355
602,padělaného,0.355
603,obchodní,0.355
604,Luděk,0.355
605,Niedermayer,0.355
606,Knihy,0.355
607,Ve,0.3522
608,plavecké,0.3501
609,federace,0.3501
610,nad,0.3481
611,vláda,0.3481
612,2008,0.3481
613,Ořechova,0.3481
614,Kaczyński,0.3452
615,mají,0.3449
616,voličů,0.3449
617,střední,0.3449
618,Návrh,0.3449
619,Saddáma,0.3449
620,Husajna,0.3449
621,hrozí,0.3449
622,Hlavní,0.3449
623,Kocianovo,0.3449
624,kvarteto,0.3449
625,všech,0.3435
626,polský,0.3428
627,Jaroslav,0.3428
628,smrti,0.3428
629,americkými,0.3414
630,odmítá,0.3414
631,jako,0.3414
632,I,0.3414
633,Blixovu,0.3414
634,planety,0.3414
635,není,0.3414
636,životy,0.3414
637,zaměstnance,0.3414
638,Stát,0.3414
639,Ruskem,0.3414
640,pátek,0.3414
641,Džuničiró,0.3414
642,Koizumi,0.3414
643,projevil,0.3414
644,ředitele,0.3414
645,mluvčí,0.3414
646,zachraňuje,0.3414
647,galerii,0.3414
648,nové,0.3414
649,Senát,0.3414
650,by,0.3414
651,Aleksander,0.3414
652,Kwaśniewski,0.3414
653,odbavilo,0.3414
654,milion,0.3414
655,Andrij,0.3414
656,Lysenko,0.3414
657,středisku,0.3414
658,zájem,0.3414
659,24,0.3414
660,příležitosti,0.3414
661,Socha,0.3414
662,Michal,0.3414
663,Gabriel,0.3414
664,západní,0.3414
665,znemožňuje,0.3414
666,ČEZu,0.3414
667,mezích,0.3414
668,vytváří,0.3414
669,oznámil,0.3414
670,Zuzana,0.3414
671,Donalda,0.3414
672,Trumpa,0.3414
673,snižování,0.3414
674,vozů,0.3414
675,obviněn,0.3414
676,korupce,0.3414
677,Slovenský,0.3414
678,pojišťovny,0.3414
679,Fiat,0.3414
680,70%,0.3414
681,odstoupila,0.3414
682,ČOI,0.3414
683,Železné,0.3414
684,Rudě,0.3414
685,Informaci,0.3414
686,sdělil,0.3414
687,otrávil,0.3414
688,Pardubickém,0.3414
689,Gandalovič,0.3414
690,podniku,0.3414
691,obyvatel,0.3394
692,hudební,0.3384
693,Jan,0.3366
694,který,0.3366
695,zákona,0.3366
696,Radnice,0.3337
697,firma,0.3337
698,vody,0.3311
699,vodní,0.3311
700,nádrže,0.3311
701,podporují,0.3311
702,deseti,0.3311
703,amerických,0.3311
704,Největší,0.3311
705,navrhoval,0.3311
706,Matula,0.3311
707,Agrofert,0.3311
708,navštívil,0.3311
709,mešitu,0.3311
710,vyšetřovateli,0.3311
711,prvním,0.3311
712,Hladina,0.3311
713,řeky,0.3311
714,Moravy,0.3311
715,armáda,0.3311
716,letadel,0.3311
717,oteplování,0.3311
718,nachází,0.3311
719,odvykání,0.3311
720,zaměstnanců,0.3311
721,španělského,0.3311
722,Bush,0.3311
723,Los,0.3311
724,14,0.3311
725,května,0.3311
726,nesouhlasí,0.3311
727,malé,0.3311
728,"cizinců,",0.3311
729,Francie,0.3311
730,ochotna,0.3311
731,nemá,0.3311
732,"řekl,",0.3311
733,plyn,0.3311
734,zaplatí,0.3311
735,třetiny,0.3311
736,nákladů,0.3311
737,civilistů,0.3311
738,vyžádal,0.3311
739,Ukrajina,0.3311
740,někdejšího,0.3311
741,gruzínského,0.3311
742,Budanov,0.3311
743,ruský,0.3311
744,voják,0.3311
745,předpokladů,0.3311
746,sabotáže,0.3311
747,ropným,0.3311
748,zařízením,0.3311
749,Podnik,0.3311
750,nejvíce,0.3311
751,motoristovi,0.3311
752,deset,0.3311
753,věnovat,0.3311
754,ideální,0.3311
755,státní,0.3311
756,Soud,0.3311
757,vede,0.3311
758,lidských,0.3311
759,práv,0.3311
760,čtrnácti,0.3311
761,čtyři,0.3311
762,Richard,0.3311
763,Loskot,0.3311
764,Chile,0.3311
765,mírovém,0.3311
766,pochodu,0.3311
767,ticho,0.3311
768,žádnou,0.3311
769,republiky,0.3311
770,filmových,0.3311
771,pokračování,0.3311
772,referendu,0.3311
773,republika,0.3311
774,Procházka,0.3311
775,13,0.3311
776,lety,0.3311
777,dětí,0.3311
778,asi,0.3311
779,11,0.3311
780,Světové,0.3311
781,červenci,0.3311
782,cestujících,0.3311
783,1973,0.3311
784,zpravodajství,0.3311
785,soutěži,0.3311
786,Jozef,0.3311
787,Tiso,0.3311
788,spojencům,0.3311
789,hlavně,0.3311
790,115,0.3311
791,osmnáctitunových,0.3311
792,obrněných,0.3311
793,vojáky,0.3311
794,Konvoj,0.3311
795,demonstrovat,0.3311
796,armády,0.3311
797,umění,0.3311
798,Clintonovou,0.3311
799,Saskia,0.3311
800,Burešová,0.3311
801,televizní,0.3311
802,dopravy,0.3311
803,srovnání,0.3311
804,zaostává,0.3311
805,ocenění,0.3311
806,vlakového,0.3311
807,informoval,0.3311
808,tomto,0.3311
809,Pandy,0.3311
810,činnost,0.3311
811,skupina,0.3311
812,Energo-PRO,0.3311
813,Ředitelem,0.3311
814,století,0.3311
815,místo,0.3311
816,Soutěž,0.3311
817,festivalu,0.3311
818,otevřela,0.3311
819,Přehřátí,0.3311
820,způsobuje,0.3311
821,získal,0.3311
822,Státní,0.3311
823,Mecenášové,0.3311
824,darovali,0.3311
825,2016,0.3311
826,narozenin,0.3311
827,psychoanalýzy,0.3311
828,chystá,0.3311
829,Firma,0.3311
830,opravu,0.3311
831,tlak,0.3311
832,mu,0.3311
833,Česko,0.3311
834,státy,0.3311
835,nyní,0.3311
836,Bolívii,0.3311
837,změně,0.3311
838,ústavy,0.3311
839,politické,0.3311
840,strany,0.3311
841,pod,0.3311
842,O,0.3311
843,Rekordní,0.3311
844,teploty,0.3311
845,1775,0.3311
846,měří,0.3311
847,Bulharsku,0.3311
848,minimálně,0.3311
849,šestnáct,0.3311
850,rozvoj,0.3311
851,pražských,0.3311
852,Sedm,0.3311
853,aerolinky,0.3311
854,minulém,0.3311
855,díky,0.3311
856,červnu,0.3311
857,posledního,0.3311
858,žije,0.3311
859,městem,0.3311
860,probíhal,0.3311
861,Všeobecné,0.3311
862,Evo,0.3311
863,poháru,0.3311
864,vrátilo,0.3311
865,Dánský,0.3311
866,obvinění,0.3311
867,ohledně,0.3311
868,vojsky,0.3311
869,2,0.3311
870,Osm,0.3311
871,hrozných,0.3311
872,Zpravodaj,0.3311
873,Jason,0.3311
874,Rezaian,0.3311
875,rok,0.3311
876,funkci,0.3311
877,svůj,0.3311
878,ničí,0.3311
879,používány,0.3311
880,udržitelném,0.3311
881,rozvoji,0.3311
882,Slovenska,0.3311
883,Christof,0.3311
884,Furtwängler,0.3311
885,výročí,0.3311
886,smlouvy,0.3311
887,bývá,0.3311
888,považován,0.3311
889,nejvýznamnějšího,0.3311
890,žijícího,0.3311
891,vyrobeno,0.3311
892,Kanadský,0.3311
893,Peter,0.3311
894,Kent,0.3311
895,emisí,0.3311
896,skleníkových,0.3311
897,plynů,0.3311
898,nefunguje,0.3311
899,kanadského,0.3311
900,únosů,0.3311
901,Spolupráce,0.3311
902,zhruba,0.3311
903,švýcarské,0.3311
904,přístup,0.3311
905,Latinské,0.3311
906,profesorem,0.3311
907,lingvistiky,0.3311
908,Havlík,0.3311
909,tržnici,0.3311
910,23,0.3311
911,TOP,0.3311
912,09,0.3311
913,otravu,0.3311
914,změnil,0.3311
915,roční,0.3311
916,podmínku,0.3311
917,Neználkův,0.3311
918,výlet,0.3311
919,Slunečního,0.3311
920,Neználek,0.3311
921,Měsíci,0.3311
922,Lesy,0.3311
923,Kubánský,0.3311
924,nadzvuková,0.3311
925,Concorde,0.3311
926,Britský,0.3271
927,Pavel,0.3271
928,II,0.3271
929,Havel,0.3271
930,Fremach,0.3271
931,Morava,0.3271
932,rakovinu,0.3271
933,lidé,0.3271
934,město,0.3271
935,letadla,0.3271
936,Evropy,0.3271
937,provozu,0.3271
938,světovou,0.3271
939,Nassau,0.3271
940,soudní,0.3271
941,Gymnasta,0.3271
942,Konečný,0.3271
943,režisér,0.3271
944,republice,0.3268
945,vystavena,0.3268
946,britského,0.3248
947,ke,0.3248
948,Sarkozy,0.3248
949,demonstrovali,0.3248
950,filmů,0.3248
951,Americe,0.3248
952,proces,0.3248
953,Martin,0.3248
954,Oscar,0.3248
955,Espinosa,0.3248
956,propustil,0.3248
957,udržují,0.3241
958,160,0.3241
959,neví,0.3241
960,vybudování,0.3241
961,skladu,0.3241
962,techniky,0.3241
963,aktivitami,0.3241
964,vítá,0.3241
965,menšina,0.3241
966,56,0.3241
967,protiraketových,0.3241
968,střel,0.3241
969,většina,0.3241
970,zastánci,0.3241
971,Objem,0.3241
972,rybníků,0.3241
973,vodních,0.3241
974,horší,0.3241
975,skladování,0.3241
976,podporuje,0.3241
977,peněžitou,0.3241
978,odměnu,0.3241
979,Trest,0.3241
980,nejnižší,0.3241
981,výši,0.3241
982,Boris,0.3241
983,Johnson,0.3241
984,nizozemské,0.3241
985,zeleniny,0.3241
986,hlava,0.3241
987,svatostánky,0.3241
988,dvou,0.3241
989,jiných,0.3241
990,náboženství,0.3241
991,První,0.3241
992,"církve,",0.3241
993,navštívila,0.3241
994,"synagogu,",0.3241
995,vyšetřovatelem,0.3241
996,Gruzie,0.3241
997,evropskými,0.3241
998,farmáři,0.3241
999,Benedikt,0.3241
1000,XVI,0.3241
1001,Opatření,0.3241
1002,povodním,0.3241
1003,protipovodňovým,0.3241
1004,opatřením,0.3241
1005,škodám,0.3241
1006,budování,0.3241
1007,podařilo,0.3241
1008,Mexičtí,0.3241
1009,vojáci,0.3241
1010,zadrželi,0.3241
1011,historicky,0.3241
1012,Umělé,0.3241
1013,rybníky,0.3241
1014,zasahovala,0.3241
1015,ozbrojených,0.3241
1016,protestech,0.3241
1017,indonéském,0.3241
1018,Sulawesi,0.3241
1019,nalezeno,0.3241
1020,politická,0.3241
1021,"Sulawesi,",0.3241
1022,"Indonésii,",0.3241
1023,našlo,0.3241
1024,bomb,0.3241
1025,pokládá,0.3241
1026,Herec,0.3241
1027,zbořil,0.3241
1028,mnohá,0.3241
1029,tabu,0.3241
1030,bývají,0.3241
1031,svých,0.3241
1032,Pro,0.3241
1033,symbolický,0.3241
1034,100.000,0.3241
1035,nezávislost,0.3241
1036,Povodí,0.3241
1037,bojuje,0.3241
1038,znovuzvolení,0.3241
1039,diskuze,0.3241
1040,"Angeles,",0.3241
1041,1994,0.3241
1042,osamostatnění,0.3241
1043,Katalánska,0.3241
1044,"Policisté,",0.3241
1045,osvobozeni,0.3241
1046,Protipovodňové,0.3241
1047,stěny,0.3241
1048,ochránily,0.3241
1049,majetek,0.3241
1050,Blixově,0.3241
1051,zprávě,0.3241
1052,motivuje,0.3241
1053,loňském,0.3241
1054,významně,0.3241
1055,nedostávají,0.3241
1056,"přijmout,",0.3241
1057,jednoznačnou,0.3241
1058,dvojčata,0.3241
1059,Blízký,0.3241
1060,Východ,0.3241
1061,uhelná,0.3241
1062,bránit,0.3241
1063,nepřátelskému,0.3241
1064,Rock,0.3241
1065,for,0.3241
1066,People,0.3241
1067,tržby,0.3241
1068,letišti,0.3241
1069,opět,0.3241
1070,kontrolují,0.3241
1071,Ruzyni,0.3241
1072,přestali,0.3241
1073,kontrolovat,0.3241
1074,celkové,0.3241
1075,částky,0.3241
1076,4500,0.3241
1077,Kč,0.3241
1078,kúru,0.3241
1079,dostaly,0.3241
1080,Sportovní,0.3241
1081,utkání,0.3241
1082,vyžádalo,0.3241
1083,"2037,",0.3241
1084,uzavřelo,0.3241
1085,"Bush,",0.3241
1086,"Card,",0.3241
1087,Cheney,0.3241
1088,Riceová,0.3241
1089,jednali,0.3241
1090,imigraci,0.3241
1091,Náhorní,0.3241
1092,Karabach,0.3241
1093,přivítala,0.3241
1094,bratra,0.3241
1095,-,0.3241
1096,Lecha,0.3241
1097,Kaczyńského,0.3241
1098,běžných,0.3241
1099,Boje,0.3241
1100,vyžádaly,0.3241
1101,tisíce,0.3241
1102,paliva,0.3241
1103,"papežům,",0.3241
1104,navštívit,0.3241
1105,Slovinska,0.3241
1106,Iráčené,0.3241
1107,střehu,0.3241
1108,bezúhonný,0.3241
1109,iráckého,0.3241
1110,začnou,0.3241
1111,zvýšily,0.3241
1112,zaměstance,0.3241
1113,zamítl,0.3241
1114,"zaměstance,",0.3241
1115,plánují,0.3241
1116,částkou,0.3241
1117,"3,7",0.3241
1118,"korun,",0.3241
1119,což,0.3241
1120,surovým,0.3241
1121,zákrokům,0.3241
1122,tunová,0.3241
1123,léků,0.3241
1124,amráda,0.3241
1125,ponechala,0.3241
1126,pašerákům,0.3241
1127,ignorovala,0.3241
1128,zavede,0.3241
1129,plynovody,0.3241
1130,Ozbrojený,0.3241
1131,konflikt,0.3241
1132,závislým,0.3241
1133,"USA,",0.3241
1134,"motorkáři,",0.3241
1135,pohrdání,0.3241
1136,diplomatické,0.3241
1137,Japonskem,0.3241
1138,Čínou,0.3241
1139,vyhrocené,0.3241
1140,"Číně,",0.3241
1141,Koreji,0.3241
1142,Filipínám,0.3241
1143,příkoří,0.3241
1144,způsobená,0.3241
1145,Britney,0.3241
1146,Spears,0.3241
1147,Mattem,0.3241
1148,Damonem,0.3241
1149,Prahou,0.3241
1150,dvěma,0.3241
1151,asijskými,0.3241
1152,zeměmi,0.3241
1153,ostrou,0.3241
1154,roztržkou,0.3241
1155,Šinzó,0.3241
1156,Abe,0.3241
1157,vzkvétaly,0.3241
1158,zúčastnil,0.3241
1159,summitu,0.3241
1160,G7,0.3241
1161,Premiér,0.3241
1162,Japonska,0.3241
1163,sousedícím,0.3241
1164,asijkým,0.3241
1165,zemím,0.3241
1166,Papež,0.3241
1167,netradiční,0.3241
1168,energii,0.3241
1169,U,0.3241
1170,didaktického,0.3241
1171,matematiky,0.3241
1172,maturity,0.3241
1173,propadlo,0.3241
1174,studentů,0.3241
1175,drog,0.3241
1176,učitelky,0.3241
1177,vyšetřování,0.3241
1178,ruskému,0.3241
1179,vojákovi,0.3241
1180,Budanovi,0.3241
1181,porušování,0.3241
1182,jaderné,0.3241
1183,Temelín,0.3241
1184,sedí,0.3241
1185,Hezoučký,0.3241
1186,2037,0.3241
1187,Blízkém,0.3241
1188,východě,0.3241
1189,hutní,0.3241
1190,Pašeráci,0.3241
1191,mexické,0.3241
1192,armádě,0.3241
