,productivity,utility,coverage,harmonic_mean
2000,0.3908,0.0574,0.0028,0.0055
království,0.4032,0.0699,0.0028,0.0055
USA,0.4019,0.0686,0.0027,0.0055
&,0.3652,0.0319,0.0027,0.0055
komediální,0.3542,0.0209,0.0027,0.0054
4,0.4134,0.0801,0.0027,0.0054
(film,0.3566,0.0232,0.0027,0.0054
Williams,0.4052,0.0719,0.0027,0.0054
začala,0.4214,0.0881,0.0027,0.0054
Steven,0.3573,0.024,0.0027,0.0054
Man,0.3773,0.044,0.0027,0.0054
Spider-Man,0.4226,0.0893,0.0027,0.0054
život,0.6225,0.2891,0.0027,0.0054
alespoň,0.6594,0.3261,0.0027,0.0053
režiséra,0.396,0.0627,0.0027,0.0053
umělec,0.4675,0.1342,0.0026,0.0053
román,0.4694,0.1361,0.0026,0.0052
obsazení,0.4537,0.1204,0.0026,0.0052
Emily,0.3603,0.027,0.0026,0.0052
San,0.3791,0.0457,0.0026,0.0052
nebo,0.3583,0.025,0.0026,0.0052
mají,0.4387,0.1053,0.0026,0.0052
Michelle,0.3927,0.0594,0.0026,0.0052
Mark,0.3875,0.0542,0.0026,0.0051
stát,0.5199,0.1865,0.0026,0.0051
Severní,0.3817,0.0484,0.0026,0.0051
ještě,0.9217,0.5884,0.0025,0.0051
Jeff,0.3937,0.0604,0.0025,0.005
kromě,0.8947,0.5614,0.0025,0.005
televizním,0.4299,0.0966,0.0025,0.005
2008,0.3847,0.0513,0.0025,0.005
Elizabeth,0.3721,0.0387,0.0025,0.005
Street,0.3658,0.0324,0.0025,0.005
čtyři,0.3883,0.055,0.0025,0.005
spolupracoval,0.5032,0.1698,0.0025,0.005
Charles,0.3753,0.042,0.0025,0.005
stal,0.4104,0.077,0.0025,0.005
postavu,0.4558,0.1225,0.0025,0.005
známá,0.3647,0.0314,0.0025,0.005
Na,0.3953,0.0619,0.0025,0.005
jedním,0.4174,0.0841,0.0025,0.005
Records,0.3876,0.0543,0.0025,0.0049
herečku,0.4386,0.1053,0.0025,0.0049
to,0.4118,0.0785,0.0025,0.0049
musí,0.9017,0.5684,0.0025,0.0049
Jane,0.3943,0.061,0.0025,0.0049
alb,0.3942,0.0608,0.0025,0.0049
vydala,0.4254,0.0921,0.0024,0.0049
televizi,0.4588,0.1254,0.0024,0.0048
Kennedy,0.4087,0.0754,0.0024,0.0048
Will,0.425,0.0917,0.0024,0.0048
American,0.366,0.0327,0.0024,0.0048
zpěvačka,0.4424,0.1091,0.0024,0.0048
oblasti,0.4071,0.0738,0.0024,0.0048
1,0.409,0.0757,0.0024,0.0048
vždy,0.8755,0.5421,0.0024,0.0048
třetí,0.437,0.1037,0.0024,0.0048
King,0.3869,0.0535,0.0024,0.0048
100,0.3617,0.0283,0.0024,0.0048
si,0.4215,0.0881,0.0024,0.0048
poprvé,0.4616,0.1283,0.0024,0.0048
lidí,0.4052,0.0718,0.0024,0.0047
u,0.3964,0.0631,0.0024,0.0047
nulové,0.9117,0.5784,0.0024,0.0047
Jon,0.3777,0.0443,0.0024,0.0047
50,0.377,0.0437,0.0024,0.0047
Night,0.394,0.0607,0.0024,0.0047
nominaci,0.5284,0.1951,0.0023,0.0047
skupiny,0.4231,0.0897,0.0023,0.0047
Existuje,0.8328,0.4994,0.0023,0.0047
nominována,0.476,0.1426,0.0023,0.0047
Neil,0.3773,0.044,0.0023,0.0046
městem,0.4855,0.1521,0.0023,0.0046
jednal,0.5017,0.1684,0.0023,0.0046
jazyk,0.3725,0.0391,0.0023,0.0046
I,0.3573,0.0239,0.0023,0.0046
30,0.3908,0.0574,0.0023,0.0046
všech,0.4218,0.0885,0.0023,0.0046
5,0.4073,0.074,0.0023,0.0045
amerického,0.4358,0.1025,0.0023,0.0045
2001,0.4449,0.1116,0.0023,0.0045
Bill,0.3754,0.042,0.0023,0.0045
listopadu,0.4038,0.0704,0.0023,0.0045
druhé,0.3862,0.0529,0.0023,0.0045
Jim,0.4016,0.0682,0.0023,0.0045
vysokou,0.5149,0.1816,0.0023,0.0045
Kalifornii,0.3908,0.0575,0.0023,0.0045
Story,0.4276,0.0943,0.0022,0.0044
hudbu,0.3965,0.0632,0.0022,0.0044
Marie,0.3937,0.0604,0.0022,0.0044
přes,0.4458,0.1125,0.0022,0.0044
2007,0.3661,0.0327,0.0022,0.0044
prvním,0.3626,0.0293,0.0022,0.0044
Andrew,0.3655,0.0322,0.0022,0.0044
York,0.3969,0.0636,0.0022,0.0044
května,0.5203,0.187,0.0022,0.0044
1999,0.4419,0.1085,0.0022,0.0044
prezidentem,0.3826,0.0492,0.0022,0.0043
hlavním,0.3929,0.0596,0.0022,0.0043
umění,0.475,0.1416,0.0022,0.0043
Earp,0.4749,0.1416,0.0022,0.0043
národní,0.3724,0.0391,0.0022,0.0043
Wyatt,0.4856,0.1523,0.0021,0.0043
Los,0.3999,0.0666,0.0021,0.0043
pět,0.3799,0.0466,0.0021,0.0043
S,0.3624,0.0291,0.0021,0.0042
Me,0.3491,0.0157,0.0021,0.0042
Jack,0.4164,0.083,0.0021,0.0042
Kalifornie,0.4563,0.123,0.0021,0.0042
21,0.3887,0.0553,0.0021,0.0042
místo,0.4955,0.1621,0.0021,0.0042
Tony,0.5031,0.1697,0.0021,0.0042
Sarah,0.3752,0.0418,0.0021,0.0042
seriál),0.3984,0.0651,0.0021,0.0042
válka,0.4416,0.1082,0.0021,0.0042
Snoop,0.3807,0.0474,0.0021,0.0042
tým,0.4104,0.0771,0.0021,0.0042
pod,0.3621,0.0288,0.0021,0.0042
Disney,0.3523,0.019,0.0021,0.0042
zemřela,0.4791,0.1458,0.0021,0.0041
role,0.4994,0.1661,0.0021,0.0041
státy,0.39,0.0566,0.0021,0.0041
Twilight,0.4446,0.1113,0.0021,0.0041
března,0.4523,0.1189,0.0021,0.0041
10,0.4079,0.0745,0.0021,0.0041
Rice,0.4212,0.0878,0.002,0.0041
Nelson,0.4018,0.0684,0.002,0.0041
Ben,0.4249,0.0916,0.002,0.0041
Bob,0.4107,0.0773,0.002,0.004
Scott,0.3952,0.0619,0.002,0.004
000,0.3742,0.0409,0.002,0.004
(televizní,0.413,0.0797,0.002,0.004
2004,0.3821,0.0488,0.002,0.004
filmy,0.3842,0.0509,0.002,0.004
/,0.4261,0.0928,0.002,0.004
Awards,0.3593,0.026,0.002,0.004
nejlepšího,0.4056,0.0723,0.002,0.004
nejvyšší,0.4649,0.1316,0.002,0.004
jeden,0.4654,0.1321,0.002,0.004
režisér,0.439,0.1056,0.002,0.004
Angeles,0.3982,0.0649,0.002,0.004
pracovala,0.5217,0.1883,0.002,0.004
slávy,0.4428,0.1094,0.002,0.004
A,0.3574,0.0241,0.002,0.0039
kterou,0.4695,0.1361,0.002,0.0039
cen,0.3934,0.0601,0.002,0.0039
Howard,0.3604,0.0271,0.002,0.0039
Wood,0.3881,0.0548,0.002,0.0039
americkém,0.4203,0.087,0.002,0.0039
Boston,0.3611,0.0278,0.002,0.0039
odmítla,0.8793,0.546,0.002,0.0039
světa,0.4081,0.0748,0.002,0.0039
republika,0.3688,0.0354,0.002,0.0039
Grant,0.4048,0.0715,0.002,0.0039
průmyslu,0.4134,0.08,0.002,0.0039
Billy,0.4016,0.0683,0.002,0.0039
června,0.4693,0.136,0.0019,0.0039
Harris,0.3757,0.0424,0.0019,0.0039
sci-fi,0.4147,0.0813,0.0019,0.0039
2006,0.3874,0.0541,0.0019,0.0039
Floyd,0.4015,0.0681,0.0019,0.0039
obdržela,0.455,0.1217,0.0019,0.0039
Francie,0.4309,0.0976,0.0019,0.0039
místě,0.3577,0.0244,0.0019,0.0038
1997,0.3967,0.0634,0.0019,0.0038
Marlon,0.4251,0.0918,0.0019,0.0038
Grammy,0.3854,0.052,0.0019,0.0038
Boys,0.4134,0.08,0.0019,0.0038
románu,0.3807,0.0474,0.0019,0.0038
producentem,0.3843,0.051,0.0019,0.0038
filmem,0.4609,0.1276,0.0019,0.0038
Velké,0.4232,0.0899,0.0019,0.0038
Roosevelt,0.3781,0.0448,0.0019,0.0038
Beatles,0.4419,0.1086,0.0019,0.0038
celém,0.4034,0.0701,0.0019,0.0038
Ellen,0.4026,0.0693,0.0019,0.0037
R,0.3845,0.0512,0.0019,0.0037
DC,0.4102,0.0768,0.0019,0.0037
kniha,0.7429,0.4095,0.0019,0.0037
Brando,0.4241,0.0908,0.0019,0.0037
D,0.3671,0.0338,0.0019,0.0037
napsán,0.3899,0.0566,0.0019,0.0037
III,0.376,0.0427,0.0019,0.0037
července,0.4647,0.1314,0.0019,0.0037
Cyrus,0.4111,0.0778,0.0019,0.0037
milionu,0.3922,0.0589,0.0018,0.0037
svého,0.3806,0.0472,0.0018,0.0037
nominace,0.4328,0.0995,0.0018,0.0037
Rock,0.3891,0.0557,0.0018,0.0036
Stone,0.3825,0.0492,0.0018,0.0036
proti,0.3744,0.041,0.0018,0.0036
13,0.3829,0.0495,0.0018,0.0036
Dogg,0.3816,0.0483,0.0018,0.0036
používá,0.419,0.0857,0.0018,0.0036
studiové,0.487,0.1537,0.0018,0.0036
11,0.4059,0.0726,0.0018,0.0036
střední,0.3669,0.0336,0.0018,0.0036
Sean,0.3536,0.0202,0.0018,0.0036
Rachel,0.3753,0.042,0.0018,0.0036
patří,0.4433,0.11,0.0018,0.0036
dva,0.4602,0.1268,0.0018,0.0036
15,0.3628,0.0295,0.0018,0.0036
dubna,0.4266,0.0932,0.0018,0.0036
Asii,0.4413,0.1079,0.0018,0.0036
Emma,0.4199,0.0866,0.0018,0.0036
University,0.3748,0.0414,0.0018,0.0036
Island,0.4606,0.1272,0.0018,0.0035
Moore,0.408,0.0747,0.0018,0.0035
kde,0.4864,0.1531,0.0018,0.0035
Kurt,0.3718,0.0384,0.0018,0.0035
World,0.38,0.0467,0.0018,0.0035
akademie,0.3904,0.0571,0.0018,0.0035
Allen,0.4012,0.0678,0.0018,0.0035
války,0.3559,0.0226,0.0018,0.0035
Evropě,0.4313,0.098,0.0018,0.0035
filmů,0.4114,0.0781,0.0018,0.0035
jedná,0.8204,0.487,0.0017,0.0035
2003,0.3772,0.0438,0.0018,0.0035
prosince,0.3862,0.0528,0.0017,0.0035
Ryan,0.3736,0.0402,0.0017,0.0035
mnoho,0.5231,0.1898,0.0017,0.0035
Lily,0.3751,0.0418,0.0017,0.0034
Transformers:,0.4688,0.1355,0.0017,0.0034
aby,0.3917,0.0584,0.0017,0.0034
věku,0.4233,0.09,0.0017,0.0034
narození,0.6279,0.2945,0.0017,0.0034
1998,0.4482,0.1148,0.0017,0.0034
Francii,0.4946,0.1612,0.0017,0.0034
jednou,0.3905,0.0572,0.0017,0.0034
Mezinárodní,0.3858,0.0525,0.0017,0.0034
amerických,0.4179,0.0846,0.0017,0.0034
televizních,0.4032,0.0699,0.0017,0.0034
Zlatý,0.4852,0.1519,0.0017,0.0034
Russell,0.4185,0.0852,0.0017,0.0034
singl,0.3985,0.0651,0.0017,0.0034
Margaret,0.3641,0.0308,0.0017,0.0034
vlastní,0.5713,0.238,0.0017,0.0034
12,0.3932,0.0599,0.0017,0.0034
děti,0.3829,0.0496,0.0017,0.0034
lze,0.4569,0.1236,0.0017,0.0034
90,0.3794,0.046,0.0017,0.0033
vztahy,0.387,0.0537,0.0017,0.0033
Ruth,0.3627,0.0294,0.0017,0.0033
Johnson,0.3964,0.0631,0.0017,0.0033
City,0.3771,0.0438,0.0017,0.0033
Maria,0.369,0.0357,0.0017,0.0033
hercem,0.5173,0.184,0.0017,0.0033
hudebník,0.4715,0.1382,0.0017,0.0033
Patrick,0.3783,0.0449,0.0017,0.0033
dvou,0.4296,0.0962,0.0017,0.0033
Trump,0.4306,0.0973,0.0017,0.0033
Ford,0.3673,0.0339,0.0017,0.0033
Marvel,0.4068,0.0735,0.0017,0.0033
Matt,0.3636,0.0302,0.0017,0.0033
obdržel,0.4376,0.1042,0.0016,0.0033
Blue,0.3936,0.0603,0.0016,0.0033
Lisa,0.3703,0.0369,0.0016,0.0033
Lincoln,0.3987,0.0653,0.0016,0.0033
Miley,0.4056,0.0723,0.0016,0.0032
Dark,0.3828,0.0494,0.0016,0.0032
celý,0.8682,0.5348,0.0016,0.0032
W,0.3547,0.0213,0.0016,0.0032
srpna,0.4568,0.1235,0.0016,0.0032
západní,0.4182,0.0849,0.0016,0.0032
16,0.3912,0.0578,0.0016,0.0032
květnu,0.4418,0.1085,0.0016,0.0032
Donald,0.4263,0.093,0.0016,0.0032
glóbus,0.4807,0.1474,0.0016,0.0032
Walt,0.3741,0.0407,0.0016,0.0032
Led,0.4355,0.1021,0.0016,0.0032
Ameriky,0.5699,0.2365,0.0016,0.0032
Ted,0.4032,0.0699,0.0016,0.0032
Adele,0.373,0.0396,0.0016,0.0032
Kate,0.4082,0.0749,0.0016,0.0032
jednu,0.4567,0.1234,0.0016,0.0032
sezóna,0.4405,0.1071,0.0016,0.0032
při,0.4195,0.0862,0.0016,0.0032
Batman,0.3976,0.0643,0.0016,0.0032
Joseph,0.3808,0.0475,0.0016,0.0032
H,0.358,0.0247,0.0016,0.0032
Francisco,0.3962,0.0629,0.0016,0.0032
Grace,0.3844,0.0511,0.0016,0.0032
Natalie,0.377,0.0436,0.0016,0.0032
hraničí,0.4422,0.1089,0.0016,0.0032
světové,0.3952,0.0618,0.0016,0.0032
režisérem,0.3733,0.0399,0.0016,0.0032
jmenován,0.4708,0.1375,0.0016,0.0031
neměl,0.8706,0.5372,0.0016,0.0031
Daniel,0.3808,0.0475,0.0016,0.0031
Christopher,0.4226,0.0893,0.0016,0.0031
Washington,0.3876,0.0543,0.0016,0.0031
Young,0.3742,0.0409,0.0016,0.0031
Leonardo,0.3692,0.0358,0.0016,0.0031
Mel,0.3917,0.0583,0.0016,0.0031
80,0.3681,0.0347,0.0016,0.0031
K,0.4921,0.1587,0.0016,0.0031
kapela,0.4644,0.131,0.0016,0.0031
"film,",0.4818,0.1484,0.0016,0.0031
sérii,0.4454,0.1121,0.0016,0.0031
Joe,0.4309,0.0975,0.0016,0.0031
Park,0.4148,0.0814,0.0016,0.0031
18,0.3712,0.0379,0.0016,0.0031
prezidenta,0.3707,0.0373,0.0016,0.0031
leží,0.4592,0.1258,0.0016,0.0031
1995,0.4077,0.0744,0.0016,0.0031
Jerry,0.3697,0.0363,0.0016,0.0031
1980,0.5225,0.1892,0.0015,0.0031
jmenuje,0.3656,0.0322,0.0015,0.0031
8,0.3922,0.0589,0.0015,0.0031
F,0.4064,0.0731,0.0015,0.0031
Bush,0.3822,0.0488,0.0015,0.0031
říše,0.3884,0.0551,0.0015,0.0031
Harry,0.4196,0.0863,0.0015,0.0031
Seth,0.3695,0.0362,0.0015,0.0031
natočen,0.4987,0.1654,0.0015,0.0031
Stanley,0.3845,0.0511,0.0015,0.0031
Edward,0.3945,0.0612,0.0015,0.0031
října,0.3922,0.0589,0.0015,0.003
Google,0.3688,0.0354,0.0015,0.003
hře,0.4182,0.0849,0.0015,0.003
představuje,0.4787,0.1453,0.0015,0.003
Golden,0.4919,0.1586,0.0015,0.003
Marilyn,0.392,0.0587,0.0015,0.003
70,0.3941,0.0607,0.0015,0.003
komedie,0.4433,0.11,0.0015,0.003
domovem,0.43,0.0967,0.0015,0.003
Hlavní,0.4159,0.0825,0.0015,0.003
Toy,0.4566,0.1232,0.0015,0.003
2002,0.4042,0.0709,0.0015,0.003
Great,0.3748,0.0414,0.0015,0.003
You,0.4248,0.0915,0.0015,0.003
West,0.429,0.0956,0.0015,0.003
vyrábí,0.3936,0.0603,0.0015,0.003
bez,0.6681,0.3347,0.0015,0.003
číslo,0.3998,0.0664,0.0015,0.003
mistrovství,0.3778,0.0445,0.0015,0.003
když,0.4069,0.0736,0.0015,0.003
odmítá,0.9397,0.6064,0.0015,0.003
vydání,0.4211,0.0877,0.0015,0.003
vytvořen,0.3807,0.0474,0.0015,0.003
Adam,0.3678,0.0344,0.0015,0.003
Justin,0.4259,0.0926,0.0015,0.003
Brian,0.4878,0.1545,0.0015,0.0029
Kanaďan,0.6297,0.2964,0.0015,0.0029
nic,0.9508,0.6175,0.0015,0.0029
6,0.3716,0.0383,0.0015,0.0029
Anglii,0.3683,0.0349,0.0015,0.0029
Wayne,0.391,0.0577,0.0015,0.0029
Danny,0.4431,0.1097,0.0015,0.0029
Kevin,0.442,0.1087,0.0015,0.0029
Smith,0.3668,0.0335,0.0015,0.0029
zemi,0.4074,0.0741,0.0015,0.0029
Cooper,0.3769,0.0435,0.0015,0.0029
anglický,0.3624,0.0291,0.0015,0.0029
prodal,0.4167,0.0834,0.0015,0.0029
února,0.4306,0.0973,0.0015,0.0029
Apple,0.3814,0.0481,0.0015,0.0029
Woods,0.4065,0.0732,0.0014,0.0029
moře,0.3979,0.0646,0.0014,0.0029
oženil,0.5054,0.1721,0.0014,0.0029
Inc,0.4003,0.067,0.0014,0.0029
několika,0.477,0.1437,0.0014,0.0029
Jackie,0.3615,0.0282,0.0014,0.0029
film),0.3667,0.0334,0.0014,0.0029
vlády,0.4516,0.1183,0.0014,0.0029
populaci,0.3934,0.0601,0.0014,0.0028
Andy,0.3941,0.0608,0.0014,0.0028
Knight,0.371,0.0377,0.0014,0.0028
Adams,0.3569,0.0236,0.0014,0.0028
Warren,0.4082,0.0749,0.0014,0.0028
týmu,0.4024,0.069,0.0014,0.0028
Game,0.3743,0.0409,0.0014,0.0028
titul,0.4046,0.0712,0.0014,0.0028
filmové,0.3949,0.0616,0.0014,0.0028
populární,0.4622,0.1289,0.0014,0.0028
Jeden,0.4435,0.1101,0.0014,0.0028
rok,0.3802,0.0468,0.0014,0.0028
filmový,0.4317,0.0983,0.0014,0.0028
14,0.5172,0.1838,0.0014,0.0028
Jak,0.3828,0.0494,0.0014,0.0028
Gyllenhaal,0.3642,0.0309,0.0014,0.0028
7,0.3668,0.0334,0.0014,0.0028
Eddie,0.3737,0.0403,0.0014,0.0028
zvířata,0.461,0.1277,0.0014,0.0028
Joan,0.418,0.0847,0.0014,0.0028
Break,0.5184,0.1851,0.0014,0.0028
Massachusetts,0.4326,0.0993,0.0014,0.0028
