,Cue,DCI
549,5,0.2796
550,##hista,0.2795
551,##ista,0.2795
552,Al,0.2795
553,por,0.2793
554,skladatel,0.2792
555,Yorku,0.2791
556,##len,0.2788
557,##pa,0.2788
558,##vo,0.2788
559,##oka,0.2787
560,##lou,0.2787
561,##bus,0.2787
562,m,0.2786
563,Mike,0.2786
564,##iti,0.2784
565,##hl,0.2784
566,nebo,0.2784
567,cho,0.2783
568,vo,0.2783
569,Red,0.2782
570,dis,0.278
571,Emily,0.2779
572,Washington,0.2778
573,##kem,0.2778
574,Wyatt,0.2777
575,##dbu,0.2777
576,Matt,0.2776
577,##p,0.2776
578,Mu,0.2776
579,##ych,0.2774
580,pode,0.2773
581,nem,0.2771
582,Marlon,0.2771
583,##nor,0.2769
584,Ku,0.2769
585,tenis,0.2768
586,My,0.2767
587,##el,0.2767
588,2017,0.2766
589,##bra,0.2765
590,Af,0.2765
591,Ke,0.2765
592,singl,0.2764
593,2000,0.2764
594,##ala,0.2763
595,Golden,0.2763
596,##ar,0.2763
597,ani,0.2763
598,American,0.2763
599,Ba,0.2762
600,##is,0.2761
601,Elizabeth,0.2761
602,It,0.276
603,##ov,0.2757
604,politic,0.2757
605,##io,0.2757
606,##vinu,0.2756
607,##si,0.2756
608,Neil,0.2753
609,Des,0.2753
610,##oh,0.2752
611,sever,0.2751
612,republika,0.2751
613,kn,0.275
614,##lav,0.275
615,Nick,0.275
616,##yn,0.2749
617,tr,0.2749
618,Do,0.2748
619,##ror,0.2748
620,100,0.2745
621,vedl,0.2745
622,San,0.2745
623,##nosti,0.2745
624,Wars,0.2744
625,da,0.2743
626,neo,0.2742
627,Du,0.2742
628,mimo,0.2742
629,##f,0.2741
630,"""",0.274
631,Don,0.274
632,sed,0.274
633,##ck,0.2737
634,mis,0.2736
635,So,0.2736
636,##ste,0.2734
637,##vod,0.2733
638,Street,0.2733
639,King,0.2732
640,2001,0.2732
641,Rock,0.2731
642,Harris,0.273
643,kde,0.2729
644,romantic,0.2729
645,##L,0.2727
646,##zta,0.2726
647,##lez,0.2726
648,Cu,0.2725
649,He,0.2725
650,Ryan,0.2725
651,Fel,0.2724
652,##B,0.2724
653,Byl,0.2723
654,hr,0.2722
655,##tov,0.2722
656,sci,0.2722
657,d,0.2722
658,##es,0.2721
659,##cha,0.272
660,##til,0.272
661,Go,0.272
662,Rok,0.272
663,##krat,0.2718
664,super,0.2718
665,Carter,0.2718
666,Angeles,0.2718
667,Los,0.2717
668,Disney,0.2717
669,21,0.2717
670,Andrew,0.2717
671,##ana,0.2716
672,Marie,0.2715
673,ja,0.2714
674,##lke,0.2714
675,fi,0.2714
676,##tla,0.2714
677,ind,0.2714
678,franco,0.2713
679,##sni,0.2713
680,Grant,0.2713
681,##g,0.2713
682,Out,0.2712
683,Cha,0.2711
684,Grammy,0.271
685,/,0.271
686,##ici,0.2709
687,##pna,0.2709
688,listopadu,0.2708
689,##okou,0.2708
690,##bal,0.2708
691,Van,0.2708
692,2006,0.2708
693,Records,0.2707
694,Snoop,0.2707
695,ins,0.2707
696,Den,0.2706
697,##ovan,0.2706
698,Led,0.2705
699,Dogg,0.2704
700,##skou,0.2704
701,Howard,0.2703
702,Christopher,0.2702
703,Inc,0.2702
704,##nd,0.2701
705,Johnson,0.27
706,##b,0.2699
707,Mel,0.2699
708,##nsky,0.2698
709,1997,0.2697
710,model,0.2697
711,Francois,0.2697
712,Film,0.2697
713,Justin,0.2696
714,##any,0.2695
715,Home,0.2694
716,##nska,0.2694
717,pl,0.2693
718,Sarah,0.2693
719,filmy,0.2692
720,##rah,0.269
721,dvou,0.269
722,##dal,0.269
723,Ty,0.269
724,##dd,0.269
725,Transformers,0.2689
726,Ar,0.2689
727,Lisa,0.2688
728,##sah,0.2688
729,Reed,0.2688
730,##cen,0.2687
731,domov,0.2687
732,kapel,0.2687
733,50,0.2687
734,##iks,0.2686
735,jeden,0.2686
736,pi,0.2686
737,Story,0.2686
738,8,0.2685
739,30,0.2685
740,##ct,0.2685
741,##se,0.2685
742,boj,0.2682
743,Gold,0.2682
744,sy,0.2682
745,te,0.2681
746,Cho,0.2681
747,ostrov,0.268
748,Billy,0.2679
749,vol,0.2679
750,##us,0.2679
751,Bob,0.2677
752,##kro,0.2677
753,As,0.2675
754,##vka,0.2674
755,Nelson,0.2673
756,up,0.2673
757,Port,0.2672
758,Russell,0.2672
759,Ir,0.2672
760,Night,0.2672
761,Pro,0.2671
762,6,0.2671
763,Hu,0.2671
764,Marvel,0.2669
765,Aust,0.2668
766,West,0.2668
767,##rve,0.2668
768,Beck,0.2667
769,Re,0.2666
770,##dl,0.2666
771,Pi,0.2665
772,##os,0.2664
773,anglicky,0.2664
774,Ellen,0.2663
775,At,0.2663
776,Allen,0.2662
777,Lan,0.266
778,World,0.266
779,publik,0.266
780,##ih,0.2659
781,Dead,0.2659
782,Rice,0.2658
783,mil,0.2657
784,pos,0.2657
785,Brian,0.2657
786,Floyd,0.2656
787,University,0.2656
788,Mac,0.2654
789,rak,0.2654
790,me,0.2653
791,##tic,0.2652
792,7,0.2652
793,Hr,0.2652
794,##id,0.2651
795,Donald,0.265
796,##tky,0.265
797,##ost,0.265
798,ch,0.2648
799,DC,0.2648
800,Jeden,0.2647
801,##zal,0.2646
802,Franco,0.2646
803,##nt,0.2646
804,##A,0.2645
805,Patrick,0.2644
806,Ha,0.2643
807,Cyrus,0.2643
808,##am,0.2643
809,Ze,0.2643
810,##ian,0.2642
811,10,0.2642
812,##dou,0.2642
813,Awards,0.2642
814,proti,0.2641
815,##oben,0.2641
816,##it,0.2641
817,thriller,0.2641
818,##smi,0.264
819,Roosevelt,0.264
820,##ble,0.2639
821,Ted,0.2639
822,ol,0.2638
823,Pan,0.2638
824,Danny,0.2638
825,Rachel,0.2636
826,Edward,0.2636
827,ky,0.2635
828,##C,0.2635
829,Grace,0.2635
830,Kurt,0.2634
831,ti,0.2633
832,2003,0.2632
833,##kov,0.2632
834,video,0.2632
835,druhy,0.2632
836,##ston,0.2632
837,##adi,0.2632
838,Bo,0.2631
839,proved,0.2631
840,doma,0.2631
841,lze,0.2631
842,Twilight,0.2631
843,##tari,0.263
844,Fa,0.263
845,##van,0.2629
846,##din,0.2629
847,##rick,0.2629
848,90,0.2628
849,##jske,0.2627
850,Carr,0.2627
851,##vis,0.2627
852,Harry,0.2626
853,kdy,0.2626
854,##aro,0.2626
855,Joseph,0.2625
856,##pas,0.2625
857,1999,0.2624
858,##rov,0.2624
859,##nske,0.2624
860,##ers,0.2624
861,##psal,0.2623
862,##ng,0.2623
863,You,0.2623
864,##nut,0.2622
865,Andy,0.2621
866,Kate,0.262
867,##demie,0.262
868,lot,0.262
869,Stone,0.262
870,##itel,0.262
871,##ene,0.262
872,komun,0.2618
873,##vac,0.2618
874,Fu,0.2617
875,hod,0.2617
876,Sean,0.2617
877,##tem,0.2617
878,##adel,0.2617
879,11,0.2616
880,15,0.2616
881,Island,0.2616
882,##x,0.2616
883,Tara,0.2616
884,##demi,0.2615
885,ra,0.2615
886,##tt,0.2614
887,2004,0.2614
888,Boys,0.2614
889,jih,0.2613
890,Lily,0.2613
891,##cia,0.2613
892,jednou,0.2612
893,Bush,0.2612
894,cel,0.261
895,Miley,0.261
896,12,0.2609
897,Sunrise,0.2608
898,Portugal,0.2608
899,##lii,0.2607
900,##yna,0.2606
901,##rrell,0.2606
902,##ad,0.2605
903,uni,0.2605
904,Bryan,0.2604
905,##ron,0.2604
906,Francii,0.2604
907,We,0.2604
908,Douglas,0.2603
909,jedno,0.2603
910,##jsk,0.2603
911,Od,0.2602
912,kapela,0.2602
913,Young,0.2602
914,Batman,0.2602
915,Sa,0.2601
916,Ob,0.26
917,sva,0.26
918,lodi,0.2599
919,##stem,0.2599
920,Japon,0.2598
921,Marilyn,0.2598
922,Ford,0.2598
923,##so,0.2598
924,##G,0.2597
925,Ten,0.2597
926,Joey,0.2596
927,Smith,0.2596
928,bio,0.2596
929,Jerry,0.2596
930,##ts,0.2595
931,led,0.2595
932,1998,0.2595
933,##eo,0.2594
934,Del,0.2594
935,scena,0.2594
936,Mar,0.2593
937,##zici,0.2593
938,Fi,0.2593
939,jednom,0.2593
940,Pen,0.2593
941,2002,0.2593
942,kan,0.2592
943,Dan,0.2592
944,##kla,0.2592
945,ot,0.2591
946,Walt,0.2591
947,13,0.259
948,Hen,0.259
949,##dli,0.2589
950,000,0.2589
951,role,0.2589
952,Apple,0.2588
953,Gerald,0.2587
954,##uf,0.2587
955,Adele,0.2587
956,##hu,0.2587
957,80,0.2586
958,##zel,0.2586
959,auto,0.2585
960,Margaret,0.2584
961,Beach,0.2584
962,Belle,0.2584
963,##w,0.2583
964,70,0.2583
965,##her,0.2582
966,##yra,0.2582
967,Blue,0.2582
968,Brad,0.2582
969,##valy,0.2581
970,Trump,0.2581
971,Maria,0.258
972,Lincoln,0.258
973,fina,0.2579
974,##als,0.2579
975,##oke,0.2579
976,More,0.2577
977,vs,0.2576
978,##ms,0.2576
979,##lum,0.2575
980,##han,0.2574
981,Daniel,0.2574
982,Abraham,0.2574
983,Beatles,0.2574
984,Who,0.2573
985,##ins,0.2573
986,City,0.2573
987,Be,0.2573
988,Jo,0.2572
989,sm,0.2572
990,Joe,0.2572
991,##hat,0.2572
992,##uh,0.2572
993,Sv,0.2572
994,Blu,0.2572
995,Cara,0.2572
996,##tek,0.2571
997,III,0.2571
998,Seth,0.2571
999,##ik,0.2571
1000,##zit,0.257
1001,prosince,0.257
1002,Glenn,0.257
1003,##zna,0.257
1004,Woods,0.257
1005,Thomas,0.2569
1006,Natalie,0.2569
1007,Fisher,0.2569
1008,Kevin,0.2568
1009,##ya,0.2568
1010,Davis,0.2567
1011,##ina,0.2567
1012,Anderson,0.2566
1013,##tor,0.2565
1014,Hi,0.2565
1015,Globe,0.2564
1016,ku,0.2564
1017,Men,0.2564
1018,##dra,0.2563
1019,##jil,0.2563
1020,##lce,0.2563
1021,Wilson,0.2563
1022,##pro,0.2562
1023,Toy,0.2562
1024,Amerika,0.2561
1025,rekord,0.2561
1026,Ruth,0.2561
1027,Vi,0.256
1028,kniha,0.256
1029,dob,0.2559
1030,Wales,0.2559
1031,jak,0.2558
1032,Alicia,0.2558
1033,Hathaway,0.2558
1034,Ti,0.2557
1035,##les,0.2557
1036,##ons,0.2556
1037,demo,0.2554
1038,Stanley,0.2554
1039,Lewis,0.2554
1040,Evans,0.2554
1041,X,0.2553
1042,Green,0.2553
1043,##ate,0.2553
1044,Adams,0.2552
1045,nej,0.2552
1046,srpna,0.2552
1047,obyvatel,0.2551
1048,Ani,0.2551
1049,Ron,0.2551
1050,Tu,0.255
1051,Radio,0.255
1052,Win,0.255
1053,Leonardo,0.255
1054,##aj,0.2549
1055,##zko,0.2549
1056,##dle,0.2548
1057,##ge,0.2547
1058,##cea,0.2546
1059,Ad,0.2545
1060,Dark,0.2545
1061,Bon,0.2544
1062,##azi,0.2543
1063,##ovat,0.2543
1064,##mn,0.2543
1065,##uv,0.2542
1066,##tel,0.2542
1067,rod,0.2542
1068,Francisco,0.2542
1069,##iv,0.2542
1070,##gga,0.2541
1071,Joan,0.2541
1072,Laura,0.2541
1073,dra,0.2541
1074,##zku,0.2541
1075,Bus,0.254
1076,McCain,0.254
1077,18,0.254
1078,Cooper,0.254
1079,##jevi,0.2539
1080,##vec,0.2539
1081,40,0.2539
1082,deset,0.2539
1083,Jean,0.2539
1084,Emma,0.2538
1085,##yne,0.2538
1086,klub,0.2538
1087,genera,0.2538
1088,jej,0.2538
1089,##as,0.2538
1090,##pe,0.2538
1091,mu,0.2537
1092,##ovni,0.2537
1093,##haal,0.2536
1094,##hla,0.2536
1095,##vana,0.2536
1096,60,0.2536
1097,Soc,0.2536
1098,dubna,0.2535
1099,Chaplin,0.2535
1100,zo,0.2535
1101,Francie,0.2534
1102,##wr,0.2534
1103,kapely,0.2534
1104,Hardy,0.2532
1105,Jamie,0.2532
1106,##lal,0.2532
1107,Anglii,0.2531
1108,Ci,0.253
1109,AC,0.253
1110,##menu,0.253
1111,basket,0.253
1112,##lash,0.2529
1113,##gie,0.2529
1114,co,0.2529
1115,##dlo,0.2528
1116,leta,0.2528
1117,Cena,0.2528
1118,Oz,0.2528
1119,##up,0.2527
1120,Grand,0.2526
1121,##olu,0.2526
1122,Ta,0.2525
1123,skupinu,0.2525
1124,ji,0.2525
1125,##nce,0.2525
1126,jednu,0.2525
1127,Knight,0.2524
1128,ci,0.2524
1129,Super,0.2523
1130,Kari,0.2523
1131,Anna,0.2523
1132,Iron,0.2522
1133,##ff,0.2521
1134,Shi,0.252
1135,Adam,0.252
1136,##mo,0.252
1137,kterou,0.252
1138,##ford,0.252
1139,mnoha,0.2519
1140,##pool,0.2519
1141,vliv,0.2519
1142,posle,0.2519
1143,##aci,0.2519
1144,prezidenta,0.2517
1145,Company,0.2517
1146,Wahl,0.2516
1147,Eminem,0.2516
1148,##op,0.2516
1149,kopi,0.2516
1150,Moore,0.2516
1151,bez,0.2515
1152,Turner,0.2515
1153,Lennon,0.2514
1154,Prince,0.2513
1155,Eddie,0.2512
1156,Dwa,0.2512
1157,kl,0.2512
1158,Carrie,0.2512
1159,smrti,0.251
1160,##ot,0.251
1161,Great,0.2509
1162,##ak,0.2509
1163,ekonomik,0.2509
1164,pot,0.2509
1165,Chan,0.2509
1166,prop,0.2509
1167,##ner,0.2509
1168,vide,0.2509
1169,##vane,0.2508
1170,Wi,0.2508
1171,Kelly,0.2508
1172,##ec,0.2508
1173,##fi,0.2508
1174,dostal,0.2508
1175,Angle,0.2508
1176,Zeppelin,0.2507
1177,Kid,0.2507
1178,NBA,0.2506
1179,Ju,0.2506
1180,Louis,0.2506
1181,Hunt,0.2505
1182,Mill,0.2505
1183,Warren,0.2505
1184,epi,0.2505
1185,kultur,0.2505
1186,Ray,0.2504
1187,Pictures,0.2504
1188,Bale,0.2504
1189,aby,0.2503
1190,1980,0.2502
1191,##P,0.2501
1192,my,0.2501
1193,##smo,0.2501
1194,##ura,0.2501
1195,##bit,0.2501
1196,##trat,0.2501
1197,Park,0.25
1198,ev,0.25
1199,Peter,0.25
1200,##ney,0.25
1201,16,0.25
1202,##tiv,0.2499
1203,Adolf,0.2499
1204,##nj,0.2499
1205,Dramatic,0.2499
1206,Et,0.2499
1207,Glee,0.2499
1208,##rista,0.2498
1209,FC,0.2498
1210,post,0.2498
1211,prac,0.2497
1212,Mal,0.2497
1213,##sh,0.2497
1214,Google,0.2497
1215,Jordan,0.2497
1216,Philip,0.2496
1217,Jak,0.2496
1218,dosud,0.2496
1219,##gha,0.2496
1220,la,0.2496
1221,Rey,0.2496
1222,Spielberg,0.2495
1223,mo,0.2495
1224,Mars,0.2494
1225,Or,0.2493
1226,Nash,0.2493
1227,Helen,0.2493
1228,fik,0.2493
1229,##V,0.2493
1230,##msky,0.2493
1231,1996,0.2493
1232,at,0.2492
1233,##um,0.2492
1234,den,0.2492
1235,Wayne,0.2491
1236,##ua,0.2491
1237,##oc,0.2491
1238,ved,0.2491
1239,brat,0.2491
1240,##hn,0.249
1241,##iny,0.249
1242,kdo,0.249
1243,Fury,0.249
1244,##ca,0.249
1245,##tou,0.249
1246,Egypt,0.2489
1247,##vat,0.2489
1248,Mary,0.2488
1249,mohou,0.2488
1250,##ah,0.2488
1251,##sp,0.2488
1252,Bradley,0.2488
1253,1995,0.2488
1254,Va,0.2487
1255,Korea,0.2487
1256,Silver,0.2487
1257,Fr,0.2486
1258,19,0.2486
1259,Sheridan,0.2485
1260,Monroe,0.2485
1261,Carey,0.2485
1262,Johna,0.2484
1263,le,0.2484
1264,Kristen,0.2484
1265,Ronald,0.2484
1266,Amy,0.2483
1267,Judd,0.2482
1268,Nixon,0.2482
1269,##nit,0.2482
1270,Game,0.2481
1271,Wall,0.2481
1272,Ved,0.2481
1273,Colin,0.2481
1274,##voj,0.248
1275,Lady,0.248
1276,25,0.2479
1277,nes,0.2479
1278,Min,0.2478
1279,it,0.2478
1280,Jackie,0.2478
1281,filmova,0.2477
1282,##ruz,0.2477
1283,##las,0.2476
1284,##est,0.2476
1285,##rod,0.2476
1286,Te,0.2476
1287,Gaga,0.2475
1288,Jared,0.2475
1289,polo,0.2475
1290,Bruce,0.2474
1291,Oscar,0.2474
1292,##et,0.2473
1293,arma,0.2473
1294,Stefan,0.2473
1295,Rome,0.2473
1296,Ter,0.2472
1297,##iard,0.2472
1298,##rones,0.2472
1299,##gura,0.2471
1300,##ley,0.2471
1301,Mala,0.2471
