,productivity,utility,coverage,harmonic_mean
##my,0.3665,0.0332,0.0076,0.0149
pop,0.3419,0.0086,0.0075,0.0147
##kou,0.3798,0.0465,0.0075,0.0147
pod,0.3888,0.0555,0.0075,0.0146
New,0.3625,0.0291,0.0074,0.0146
##ere,0.3954,0.0621,0.0074,0.0146
Man,0.3542,0.0208,0.0074,0.0146
##bi,0.3612,0.0279,0.0074,0.0145
show,0.4123,0.079,0.0074,0.0145
K,0.3491,0.0157,0.0074,0.0145
##rie,0.3598,0.0265,0.0074,0.0145
si,0.3499,0.0166,0.0074,0.0145
##lu,0.3827,0.0494,0.0074,0.0145
ze,0.3856,0.0523,0.0074,0.0144
##oval,0.4021,0.0688,0.0073,0.0144
vydal,0.4012,0.0678,0.0073,0.0144
jedna,0.4552,0.1219,0.0072,0.0142
##z,0.3999,0.0665,0.0072,0.0142
komedi,0.38,0.0467,0.0071,0.014
k,0.3451,0.0118,0.0071,0.014
Amer,0.3893,0.0559,0.0071,0.014
##chod,0.361,0.0277,0.0071,0.0139
A,0.378,0.0447,0.0071,0.0139
##st,0.3529,0.0195,0.0071,0.0139
##hr,0.4082,0.0748,0.0068,0.0134
pra,0.4045,0.0712,0.0068,0.0134
spolu,0.4147,0.0813,0.0067,0.0132
2,0.4106,0.0773,0.0067,0.0132
##on,0.4077,0.0744,0.0067,0.0131
letech,0.3899,0.0566,0.0067,0.0131
Z,0.3712,0.0378,0.0066,0.013
vi,0.4319,0.0986,0.0065,0.0128
zahrnuje,0.4401,0.1068,0.0065,0.0128
St,0.3513,0.0179,0.0065,0.0128
##ovou,0.4153,0.0819,0.0065,0.0127
ty,0.3802,0.0469,0.0064,0.0126
rom,0.4029,0.0696,0.0064,0.0126
##lie,0.3484,0.015,0.0064,0.0125
J,0.3793,0.046,0.0063,0.0125
##ku,0.3504,0.0171,0.0063,0.0124
Tom,0.3785,0.0451,0.0063,0.0123
##ly,0.3456,0.0122,0.0063,0.0123
##li,0.351,0.0176,0.0062,0.0123
Se,0.3498,0.0165,0.0062,0.0122
##za,0.4031,0.0697,0.0061,0.0121
Paul,0.3661,0.0327,0.0061,0.012
##pen,0.7829,0.4496,0.006,0.0119
kon,0.4099,0.0766,0.006,0.0119
Ve,0.3757,0.0424,0.006,0.0119
##pi,0.3684,0.035,0.006,0.0118
nikdy,0.8723,0.5389,0.0059,0.0118
produk,0.463,0.1296,0.006,0.0118
the,0.3508,0.0174,0.006,0.0117
2016,0.3893,0.056,0.006,0.0117
##nem,0.4209,0.0875,0.006,0.0117
ro,0.3913,0.058,0.0059,0.0117
##d,0.3662,0.0328,0.0059,0.0117
##by,0.3559,0.0225,0.0059,0.0117
fotbal,0.3878,0.0544,0.0059,0.0116
##man,0.3629,0.0296,0.0058,0.0115
##ze,0.3497,0.0164,0.0058,0.0115
M,0.362,0.0286,0.0057,0.0112
Pr,0.3699,0.0366,0.0057,0.0112
U,0.3578,0.0244,0.0056,0.0111
##znam,0.3692,0.0358,0.0056,0.0111
sp,0.372,0.0387,0.0056,0.011
I,0.3563,0.023,0.0056,0.011
W,0.3739,0.0405,0.0055,0.0109
##ona,0.3633,0.0299,0.0055,0.0109
de,0.3589,0.0255,0.0055,0.0109
Ko,0.3462,0.0128,0.0055,0.0109
sto,0.4031,0.0697,0.0055,0.0108
##po,0.3745,0.0412,0.0055,0.0108
Richard,0.3866,0.0532,0.0054,0.0107
##nie,0.3571,0.0238,0.0054,0.0107
Black,0.3747,0.0414,0.0054,0.0107
jen,0.8977,0.5643,0.0054,0.0107
ps,0.4886,0.1552,0.0054,0.0107
sl,0.3528,0.0195,0.0054,0.0106
kar,0.4511,0.1178,0.0054,0.0106
##lo,0.4048,0.0714,0.0054,0.0106
nema,0.8586,0.5253,0.0053,0.0105
Za,0.3674,0.034,0.0053,0.0105
##tu,0.386,0.0526,0.0053,0.0105
premi,0.4215,0.0882,0.0052,0.0103
zemi,0.3895,0.0562,0.0052,0.0103
Star,0.3603,0.027,0.0052,0.0103
ceny,0.4021,0.0688,0.0052,0.0103
##v,0.3771,0.0438,0.0052,0.0102
##vu,0.3973,0.064,0.0051,0.0102
##j,0.3588,0.0255,0.0051,0.0101
##ba,0.4453,0.112,0.0051,0.0101
H,0.365,0.0316,0.0051,0.0101
3,0.3613,0.0279,0.0051,0.0101
##leti,0.444,0.1107,0.0051,0.01
2015,0.3717,0.0384,0.0051,0.01
„,0.3657,0.0324,0.005,0.0099
Chris,0.4094,0.076,0.005,0.0099
##cka,0.3608,0.0274,0.005,0.0099
##val,0.3651,0.0317,0.005,0.0098
mezi,0.3721,0.0388,0.005,0.0098
nomina,0.4304,0.0971,0.005,0.0098
##sko,0.3758,0.0424,0.005,0.0098
##for,0.352,0.0187,0.005,0.0098
poc,0.4511,0.1178,0.0049,0.0098
##er,0.4362,0.1029,0.0049,0.0097
##pad,0.4299,0.0965,0.0049,0.0097
##mu,0.3671,0.0338,0.0049,0.0096
O,0.3882,0.0549,0.0049,0.0096
svou,0.4122,0.0789,0.0049,0.0096
##lk,0.3544,0.0211,0.0048,0.0095
##zve,0.4653,0.132,0.0048,0.0095
##cem,0.3738,0.0405,0.0048,0.0095
##uz,0.4116,0.0783,0.0048,0.0095
sou,0.3883,0.055,0.0048,0.0094
nar,0.4376,0.1043,0.0048,0.0094
##ro,0.403,0.0696,0.0048,0.0094
##uje,0.5597,0.2264,0.0048,0.0094
take,0.4333,0.0999,0.0048,0.0094
##ds,0.4416,0.1083,0.0048,0.0094
debut,0.4133,0.08,0.0047,0.0094
##ry,0.3644,0.031,0.0047,0.0094
obsahuje,0.4426,0.1093,0.0047,0.0094
##rni,0.3903,0.057,0.0047,0.0093
##meno,0.3846,0.0512,0.0047,0.0093
prezident,0.3544,0.021,0.0047,0.0092
Ne,0.3802,0.0468,0.0047,0.0092
kom,0.3496,0.0163,0.0047,0.0092
Award,0.4313,0.098,0.0046,0.0092
Dr,0.3672,0.0339,0.0047,0.0092
rock,0.4641,0.1308,0.0046,0.0092
##al,0.4562,0.1229,0.0046,0.0091
brit,0.3525,0.0192,0.0046,0.0091
jeho,0.3786,0.0453,0.0046,0.0091
D,0.4238,0.0904,0.0046,0.0091
##ozen,0.4323,0.099,0.0046,0.0091
##hy,0.3806,0.0472,0.0046,0.0091
##pracoval,0.414,0.0807,0.0046,0.009
ho,0.4201,0.0867,0.0045,0.009
##di,0.4005,0.0672,0.0045,0.009
##sta,0.3972,0.0639,0.0045,0.0089
##tech,0.4221,0.0888,0.0045,0.0089
##ti,0.3715,0.0381,0.0045,0.0089
druh,0.4062,0.0729,0.0045,0.0089
##in,0.3618,0.0284,0.0045,0.0089
pa,0.3824,0.049,0.0044,0.0087
La,0.4031,0.0698,0.0043,0.0086
prof,0.38,0.0466,0.0043,0.0086
2011,0.3706,0.0372,0.0043,0.0085
Po,0.3991,0.0658,0.0043,0.0085
2012,0.3771,0.0437,0.0043,0.0085
Kali,0.3747,0.0414,0.0043,0.0085
Lee,0.4116,0.0783,0.0043,0.0084
di,0.4162,0.0829,0.0042,0.0084
##tl,0.8489,0.5155,0.0042,0.0084
E,0.357,0.0236,0.0042,0.0084
##nii,0.3854,0.0521,0.0042,0.0083
Jones,0.3651,0.0318,0.0042,0.0083
##esi,0.3822,0.0488,0.0042,0.0083
##yr,0.3905,0.0571,0.0042,0.0083
##ovi,0.3612,0.0279,0.0042,0.0083
producent,0.4274,0.0941,0.0042,0.0083
##ice,0.351,0.0176,0.0042,0.0082
##dy,0.4069,0.0735,0.0042,0.0082
jin,0.4855,0.1521,0.0042,0.0082
20,0.3747,0.0414,0.0042,0.0082
##ym,0.3552,0.0219,0.0041,0.0082
byly,0.358,0.0247,0.0041,0.0082
De,0.3862,0.0529,0.0041,0.0082
##zem,0.3798,0.0465,0.0041,0.0082
##lka,0.3904,0.0571,0.0041,0.0081
Ang,0.401,0.0677,0.0041,0.0081
skupina,0.4721,0.1387,0.0041,0.008
T,0.3568,0.0235,0.0041,0.008
jazyk,0.4061,0.0727,0.004,0.008
II,0.4174,0.084,0.004,0.008
##te,0.3813,0.048,0.004,0.008
##ula,0.378,0.0446,0.004,0.008
nach,0.3865,0.0531,0.004,0.0079
2014,0.4076,0.0743,0.004,0.0079
nap,0.4712,0.1379,0.004,0.0079
Boston,0.4083,0.075,0.0039,0.0078
Bu,0.3541,0.0207,0.004,0.0078
Robert,0.3781,0.0448,0.0039,0.0078
sk,0.3893,0.0559,0.0039,0.0078
##ver,0.3517,0.0184,0.0039,0.0078
Emmy,0.392,0.0587,0.0039,0.0077
2010,0.3975,0.0642,0.0039,0.0077
Jackson,0.3618,0.0284,0.0039,0.0077
Jennifer,0.3675,0.0342,0.0039,0.0077
Pa,0.3689,0.0356,0.0039,0.0076
Br,0.3788,0.0455,0.0039,0.0076
Martin,0.376,0.0427,0.0039,0.0076
P,0.3872,0.0538,0.0038,0.0076
2013,0.3605,0.0272,0.0038,0.0076
##re,0.3592,0.0259,0.0038,0.0076
re,0.4811,0.1477,0.0038,0.0076
##zov,0.5167,0.1834,0.0038,0.0075
kana,0.4645,0.1312,0.0038,0.0075
##sto,0.4645,0.1312,0.0038,0.0075
##mov,0.3643,0.0309,0.0038,0.0075
##zy,0.3774,0.0441,0.0038,0.0075
os,0.3713,0.0379,0.0038,0.0075
Da,0.3593,0.0259,0.0038,0.0075
nulo,0.9272,0.5939,0.0037,0.0074
Lo,0.3863,0.053,0.0037,0.0074
Frank,0.3695,0.0362,0.0037,0.0073
nebyla,0.8795,0.5462,0.0037,0.0073
alb,0.3533,0.02,0.0037,0.0073
nem,0.6228,0.2895,0.0036,0.0073
Sc,0.371,0.0377,0.0036,0.0072
ko,0.4357,0.1023,0.0036,0.0072
nah,0.4117,0.0784,0.0036,0.0072
Ex,0.6873,0.354,0.0036,0.0072
##veden,0.3838,0.0505,0.0036,0.0072
##sku,0.3962,0.0629,0.0036,0.0071
##der,0.3487,0.0153,0.0036,0.0071
Tim,0.4051,0.0718,0.0036,0.0071
Taylor,0.3992,0.0658,0.0036,0.0071
##ing,0.3476,0.0143,0.0036,0.007
Ni,0.3714,0.0381,0.0035,0.007
##ist,0.6694,0.336,0.0035,0.007
Ben,0.387,0.0537,0.0035,0.007
##ii,0.366,0.0327,0.0035,0.007
Con,0.3523,0.0189,0.0035,0.007
##en,0.3551,0.0218,0.0035,0.007
Me,0.3615,0.0281,0.0035,0.007
##il,0.4636,0.1303,0.0035,0.007
1,0.3498,0.0165,0.0035,0.0069
##tni,0.3544,0.0211,0.0035,0.0069
Charles,0.3901,0.0568,0.0035,0.0069
Jack,0.4062,0.0729,0.0035,0.0069
st,0.36,0.0267,0.0035,0.0069
B,0.3865,0.0532,0.0035,0.0069
##vern,0.37,0.0367,0.0035,0.0069
##do,0.3736,0.0403,0.0035,0.0068
##nou,0.4025,0.0692,0.0035,0.0068
Brit,0.3521,0.0188,0.0035,0.0068
dramatic,0.3916,0.0582,0.0034,0.0068
##lem,0.3713,0.038,0.0034,0.0068
2017,0.4206,0.0873,0.0034,0.0068
Ga,0.3749,0.0416,0.0034,0.0068
##pra,0.3953,0.0619,0.0034,0.0067
dva,0.406,0.0727,0.0034,0.0067
##berg,0.386,0.0527,0.0034,0.0067
drama,0.3971,0.0638,0.0034,0.0067
##vou,0.3536,0.0203,0.0034,0.0067
str,0.3544,0.0211,0.0034,0.0067
div,0.4358,0.1025,0.0034,0.0067
Di,0.365,0.0316,0.0034,0.0067
Akademie,0.3875,0.0541,0.0033,0.0066
Steven,0.3553,0.022,0.0033,0.0066
op,0.3605,0.0272,0.0033,0.0066
##icky,0.3685,0.0352,0.0033,0.0066
Williams,0.4114,0.0781,0.0033,0.0066
Spider,0.3845,0.0511,0.0033,0.0066
##ej,0.3727,0.0394,0.0033,0.0066
##ko,0.3694,0.0361,0.0033,0.0066
vel,0.3621,0.0288,0.0033,0.0066
##ton,0.3591,0.0258,0.0033,0.0065
byli,0.3662,0.0329,0.0033,0.0065
Anne,0.3641,0.0308,0.0033,0.0065
Sha,0.3827,0.0494,0.0033,0.0065
ce,0.3913,0.058,0.0033,0.0065
studio,0.42,0.0867,0.0033,0.0065
4,0.3846,0.0513,0.0033,0.0065
5,0.3972,0.0639,0.0033,0.0064
2009,0.3621,0.0288,0.0032,0.0064
##koli,0.7986,0.4652,0.0032,0.0064
Li,0.4052,0.0719,0.0032,0.0064
##rp,0.4298,0.0965,0.0032,0.0064
##ey,0.3685,0.0351,0.0032,0.0064
2005,0.3915,0.0581,0.0032,0.0064
aka,0.4155,0.0822,0.0032,0.0064
&,0.3511,0.0178,0.0032,0.0064
so,0.3788,0.0455,0.0032,0.0064
and,0.4056,0.0722,0.0032,0.0063
One,0.3772,0.0439,0.0032,0.0063
Oscara,0.4418,0.1085,0.0032,0.0063
host,0.4774,0.144,0.0032,0.0063
##klad,0.3823,0.0489,0.0032,0.0063
to,0.3929,0.0596,0.0032,0.0063
in,0.3684,0.0351,0.0032,0.0063
##uj,0.406,0.0726,0.0032,0.0063
##b,0.5723,0.239,0.0031,0.0063
##an,0.6002,0.2669,0.0031,0.0062
Jr,0.357,0.0237,0.0031,0.0062
##ita,0.383,0.0496,0.0031,0.0062
alba,0.4221,0.0888,0.0031,0.0062
Fe,0.5381,0.2048,0.0031,0.0062
##jen,0.3755,0.0422,0.0031,0.0062
milion,0.4164,0.083,0.0031,0.0062
##yl,0.3694,0.0361,0.0031,0.0062
##yst,0.405,0.0717,0.0031,0.0062
Mo,0.3755,0.0422,0.0031,0.0062
##vs,0.3611,0.0277,0.0031,0.0061
Ka,0.4204,0.0871,0.0031,0.0061
Co,0.3701,0.0368,0.0031,0.0061
It,0.3805,0.0472,0.0031,0.0061
Kennedy,0.4086,0.0752,0.0031,0.0061
spisovatel,0.4108,0.0775,0.0031,0.0061
vlast,0.5151,0.1818,0.0031,0.0061
##rt,0.498,0.1646,0.003,0.006
##kon,0.4036,0.0703,0.003,0.006
##ovala,0.3728,0.0395,0.003,0.006
franco,0.4196,0.0863,0.003,0.006
2000,0.3679,0.0345,0.003,0.006
Wood,0.3715,0.0382,0.003,0.006
Bill,0.3654,0.0321,0.003,0.006
##ech,0.4065,0.0732,0.003,0.006
cele,0.3736,0.0403,0.003,0.0059
2008,0.3885,0.0552,0.003,0.0059
g,0.4159,0.0825,0.003,0.0059
sv,0.4081,0.0747,0.003,0.0059
Ra,0.4724,0.139,0.003,0.0059
##tro,0.378,0.0446,0.003,0.0059
Ku,0.3775,0.0442,0.003,0.0059
##ic,0.3924,0.0591,0.003,0.0059
##nost,0.3862,0.0529,0.0029,0.0058
Ea,0.4168,0.0835,0.0029,0.0058
mimo,0.7348,0.4014,0.0029,0.0058
sever,0.4082,0.0748,0.0029,0.0058
##p,0.387,0.0537,0.0029,0.0058
##ror,0.414,0.0807,0.0029,0.0058
##ov,0.3815,0.0482,0.0029,0.0058
2001,0.448,0.1147,0.0029,0.0058
Steve,0.356,0.0227,0.0029,0.0058
Love,0.3674,0.0341,0.0029,0.0058
##kem,0.3606,0.0273,0.0029,0.0058
Kr,0.4595,0.1261,0.0029,0.0058
##vala,0.4148,0.0815,0.0029,0.0057
Yorku,0.4767,0.1434,0.0029,0.0057
##ham,0.4058,0.0725,0.0029,0.0057
In,0.4079,0.0745,0.0029,0.0057
USA,0.4063,0.073,0.0029,0.0057
bu,0.511,0.1777,0.0029,0.0057
Jon,0.3619,0.0286,0.0029,0.0057
oblasti,0.4008,0.0675,0.0029,0.0057
##ckou,0.4658,0.1324,0.0029,0.0057
Mike,0.3632,0.0299,0.0029,0.0057
##bu,0.4155,0.0821,0.0029,0.0057
William,0.4147,0.0813,0.0028,0.0057
L,0.3568,0.0234,0.0028,0.0056
##bra,0.3749,0.0415,0.0028,0.0056
sed,0.3743,0.041,0.0028,0.0056
maji,0.4392,0.1058,0.0028,0.0056
Je,0.4234,0.0901,0.0028,0.0056
##nor,0.4199,0.0866,0.0028,0.0056
##ia,0.4261,0.0928,0.0028,0.0056
2007,0.3692,0.0359,0.0028,0.0056
Mezi,0.4303,0.0969,0.0028,0.0056
m,0.4793,0.146,0.0028,0.0056
hry,0.3859,0.0525,0.0028,0.0056
dos,0.4003,0.067,0.0028,0.0056
pracuje,0.4312,0.0979,0.0028,0.0056
##len,0.3654,0.0321,0.0028,0.0056
No,0.4074,0.0741,0.0028,0.0055
ml,0.3791,0.0458,0.0028,0.0055
##du,0.4313,0.098,0.0028,0.0055
Ba,0.3602,0.0269,0.0028,0.0055
Ke,0.3515,0.0182,0.0028,0.0055
Pe,0.4036,0.0702,0.0028,0.0055
titul,0.4002,0.0669,0.0027,0.0055
kn,0.4145,0.0811,0.0027,0.0054
##it,0.5796,0.2463,0.0027,0.0054
d,0.371,0.0377,0.0027,0.0054
San,0.3684,0.0351,0.0027,0.0054
Matt,0.3533,0.02,0.0027,0.0054
##pa,0.3715,0.0382,0.0027,0.0054
##cha,0.3937,0.0603,0.0027,0.0054
##lou,0.378,0.0446,0.0027,0.0054
##tov,0.363,0.0297,0.0027,0.0054
politic,0.4208,0.0874,0.0027,0.0054
##son,0.4082,0.0748,0.0027,0.0054
King,0.3821,0.0488,0.0027,0.0054
##lav,0.4186,0.0852,0.0027,0.0054
Fox,0.383,0.0497,0.0027,0.0053
Af,0.3805,0.0472,0.0027,0.0053
uz,0.4394,0.106,0.0027,0.0053
tr,0.3601,0.0268,0.0027,0.0053
Mu,0.3829,0.0496,0.0027,0.0053
Do,0.3539,0.0206,0.0027,0.0053
##bal,0.3685,0.0352,0.0027,0.0053
cho,0.3713,0.038,0.0027,0.0053
nebo,0.3644,0.0311,0.0027,0.0053
Emily,0.3612,0.0279,0.0027,0.0053
##ista,0.3866,0.0533,0.0027,0.0053
##hl,0.365,0.0317,0.0027,0.0053
Jeff,0.3802,0.0468,0.0026,0.0052
vo,0.3721,0.0388,0.0026,0.0052
stal,0.3974,0.0641,0.0026,0.0052
100,0.3522,0.0189,0.0026,0.0052
Michelle,0.3908,0.0574,0.0026,0.0052
Red,0.3709,0.0376,0.0026,0.0052
##ala,0.4021,0.0687,0.0026,0.0052
##rop,0.4089,0.0756,0.0026,0.0052
Ho,0.3933,0.0599,0.0026,0.0052
Mark,0.3917,0.0583,0.0026,0.0052
##ana,0.391,0.0577,0.0026,0.0052
Washington,0.3675,0.0342,0.0026,0.0052
Jane,0.4042,0.0709,0.0026,0.0052
Scott,0.3892,0.0559,0.0026,0.0052
republika,0.3588,0.0255,0.0026,0.0052
##rii,0.4022,0.0689,0.0026,0.0052
Van,0.3833,0.0499,0.0026,0.0051
##dal,0.3697,0.0364,0.0026,0.0051
##ste,0.3542,0.0209,0.0026,0.0051
##ych,0.3943,0.0609,0.0026,0.0051
ind,0.4503,0.117,0.0026,0.0051
##vod,0.3507,0.0173,0.0026,0.0051
American,0.3719,0.0386,0.0026,0.0051
Disney,0.3545,0.0212,0.0025,0.0051
Aust,0.3928,0.0594,0.0025,0.0051
neo,0.8059,0.4726,0.0025,0.0051
Andrew,0.3566,0.0233,0.0025,0.0051
He,0.3761,0.0427,0.0025,0.005
Neil,0.3692,0.0359,0.0025,0.005
Will,0.4237,0.0903,0.0025,0.005
romantic,0.3968,0.0635,0.0025,0.005
##nska,0.4,0.0667,0.0025,0.005
osob,0.4088,0.0754,0.0025,0.005
skladatel,0.3705,0.0372,0.0025,0.005
Ir,0.3858,0.0525,0.0025,0.005
Elizabeth,0.3698,0.0364,0.0025,0.005
##el,0.3888,0.0555,0.0025,0.005
##vinu,0.3714,0.0381,0.0025,0.005
ja,0.361,0.0277,0.0025,0.005
Jim,0.3891,0.0557,0.0025,0.005
da,0.4152,0.0819,0.0025,0.005
##lat,0.4202,0.0868,0.0025,0.005
Th,0.3824,0.0491,0.0025,0.005
pode,0.3829,0.0496,0.0025,0.005
Rock,0.3806,0.0472,0.0025,0.0049
ned,0.8668,0.5335,0.0025,0.0049
##iks,0.384,0.0507,0.0025,0.0049
aktiv,0.3823,0.049,0.0025,0.0049
##til,0.346,0.0127,0.0025,0.0049
##si,0.3694,0.0361,0.0025,0.0049
vydala,0.4205,0.0872,0.0025,0.0049
Night,0.3851,0.0517,0.0025,0.0049
musi,0.9032,0.5699,0.0025,0.0049
##kra,0.4815,0.1481,0.0025,0.0049
